날짜,게시글 URL,댓글,조회수,글 제목,작업자,쪽지 수량
2025-12-15,https://cafe.naver.com/feko/10204193,4,99,강남역 히트성형외과 안면거상 상담후기 (박정열원장님),차예나 매니저,1
2025-12-15,https://cafe.naver.com/feko/10085711,26,260,"강남 히트성형외과 내시경이마거상 상담, 금액 후기",차예나 매니저,13
2025-12-15,https://cafe.naver.com/feko/10203653,6,88,얼굴살 많으면 얼지흡 추천추천!!,김채운 매니저,2
2025-12-15,https://cafe.naver.com/feko/10202684,16,268,복코 자려한 직반라인으로 수술하고 원하는 코모양 겟♥️ 코수술후기요,차예나 매니저,3
2025-12-12,https://sungyesa.com/d03/717586,,,"[쌍꺼풀절개] 히트에서 매몰, 눈교, 앞윗트 수술함",박민정 매니저,
2025-12-12,https://cafe.naver.com/feko/10195480,4,276,저 쌍트 너무 잘됐다 생각하는데 어떤 것 같아요?,김채운 매니저,1
2025-12-12,https://cafe.naver.com/feko/10195131,2,81,히트에서 얼지흡 받은지 4일차에요!,김채운 매니저,1
2025-12-11,https://cafe.naver.com/feko/10191702,18,347,이마축소 한달됐어요 봐주세요ㅎㅎ,박민정 매니저,6
2025-12-10,https://cafe.naver.com/feko/10188088,12,206,생각나서 적어보는 이마축소 5개월차,박민정 매니저,3
2025-12-10,https://cafe.naver.com/feko/10188067,8,171,이마축소 한달차 후기입니다!!!!,박민정 매니저,3
2025-12-10,https://cafe.naver.com/feko/10188183,4,72,뭐든 상담받는게 정확하네요. 저 쌍트 병원 결정했어요!,김채운 매니저,1
2025-12-10,https://cafe.naver.com/feko/10187074,7,156,히트 얼지흡 얼굴라인까지 생각해서 수술해줘요!👍,김채운 매니저,2
2025-12-09,https://cafe.naver.com/feko/10183859,4,66,수능이벤트로 히트에서 쌍수 받는걸로 예약 잡았어요❤️,김채운 매니저,1
2025-12-09,https://cafe.naver.com/feko/10181826,2,212,강남 히트성형외과 안면거상 중년눈수술 후기 효과 좋긴한거같아요...ㅋㅋ,차예나 매니저,1
2025-12-08,https://cafe.naver.com/feko/10179624,30,194,히트성형외과 중년 안면목거상 원장님+금액+상담후기요!,차예나 매니저,13
2025-12-08,https://cafe.naver.com/feko/10179588,5,182,내시경이마거상 본터널링 실고정 1주일차후기,차예나 매니저,1
2025-12-08,https://cafe.naver.com/feko/10179466,12,284,복코수술 자연스럽게 한지 한달차용!!!!!!!! 복코 전후입니당!,차예나 매니저,3
2025-12-08,https://cafe.naver.com/feko/10179369,16,324,히트성형외과 이마축소 상담 다녀왔어요!,박민정 매니저,7
2025-12-08,https://cafe.naver.com/feko/10179011,4,48,내일 히트에서 얼지흡 받아용...!!!,김채운 매니저,1
2025-12-08,https://cafe.naver.com/feko/10178819,3,70,소세지눈 재수술 히트에서 받고왔어요,김채운 매니저,1
2025-12-05,https://cafe.naver.com/feko/10173222,10,74,히트에서 얼지흡 받고왔어요~!,김채운 매니저,2
2025-12-05,https://cafe.naver.com/feko/10173014,14,353,강남 히트 성형외과 낮고 코끝처짐 심했던 복코수술 2주차 후기,차예나 매니저,3
2025-12-04,https://cafe.naver.com/feko/10169317,26,519,히트성형외과 안면거상 이마거상 상담 후기,차예나 매니저,9
2025-12-04,https://cafe.naver.com/feko/10168233,3,67,내일 히트에서 소세지눈 수술 받아요!,김채운 매니저,1
2025-12-04,https://cafe.naver.com/feko/10167816,20,302,히트성형외과 김정호원장님께 이마축소수술 받은 후기!,차예나 매니저,4
2025-12-03,https://cafe.naver.com/feko/10164478,14,163,내시경이마거상 히트 한상철 대표원장님 상담후기,차예나 매니저,7
2025-12-03,https://cafe.naver.com/feko/10164427,2,176,낮은 매부리코 자연스러운 직반라인 코수술 정보 후기 낋여왔어요,차예나 매니저,0
2025-12-02,https://cafe.naver.com/feko/10159158,10,133,히트성형외과 중년 안면거상 상담후기~ 박정열원장님,차예나 매니저,2
2025-12-02,https://cafe.naver.com/feko/10158521,5,182,남자 얼지흡 후기입니다!,김채운 매니저,1
2025-12-01,https://cafe.naver.com/feko/10154193,8,327,히트성형외과 중년거상 후기요 안면거상+이마거상 등,차예나 매니저,4
2025-11-28,https://cafe.naver.com/feko/10148327,2,179,"히트성형외과 윤곽수술 후 처짐 안면거상 상담 후기 남겨요 (미니거상, 안면거상)",차예나 매니저,
2025-11-28,https://cafe.naver.com/feko/10146985,2,181,강남 히트성형외과 한상철 원장님 남자 복코수술 한달차,차예나 매니저,
2025-11-27,https://cafe.naver.com/feko/10143319,19,456,히트성형외과 김정호원장님 2cm 이마축소 후기입니다,차예나 매니저,3
2025-11-26,https://cafe.naver.com/feko/10137075,4,142,리투오 받으니까 화장 엄청 잘먹어요,김채운 매니저,1
2025-11-25,https://cafe.naver.com/feko/10134657,8,251,신논현 히트 성형외과 내시경 이마거상 한상철 원장님 상담후기+수술견적,차예나 매니저,1
2025-11-25,https://cafe.naver.com/feko/10133524,4,86,자연유착 회복 빨라서 좋아요ㅎㅎ,김채운 매니저,1
2025-11-25,https://cafe.naver.com/feko/10132869,42,308,얼지흡 받았는데 없던 턱선 생긴거 실화…?,김채운 매니저,9
2025-11-24,https://cafe.naver.com/feko/10129615,11,216,히트 쌍수 예약 잡아놨는데 시간 너무 안가요😯,김채운 매니저,1
2025-11-24,https://cafe.naver.com/feko/10128816,16,359,신논현 히트성형외과 박정열원장님 코수술 두달차 후기!,차예나 매니저,2
2025-11-21,https://sungyesa.com/b01/1212469,3,217, 코수술 하고 복코 교정 너무 잘됐어요😭,문나래 매니저,
2025-11-21,https://cafe.naver.com/feko/10123737,7,72,히트에서 소세지눈 재수술 받기로 했어요~,김채운 매니저,1
2025-11-21,https://cafe.naver.com/feko/10123514,16,260,미용코+기능코 같이 수술했어요! 무보형물코수술 후기입니당,차예나 매니저,2
2025-11-21,https://sungyesa.com/d04/318448,,95, 이마축소 금액 후기 공유해줄겡,문나래 매니저,
2025-11-21,https://sungyesa.com/d03/714857,3,265,첫 쌍수 성공하고 주변에서 예뻐졌대 ㅎㅎ,문나래 매니저,
2025-11-20,https://cafe.naver.com/feko/10118410,2,302,엄마 눈수술 자연스럽게 잘되서 제가 다 뿌듯해요!,김채운 매니저,1
2025-11-20,https://cafe.naver.com/feko/10116622,23,129,얼굴지방흡입 상담 히트성형외과 다녀왔어용,문나래 매니저,1
2025-11-20,https://cafe.naver.com/feko/10116558,5,147,이마축소 수술 받고 회복중..!,문나래 매니저,1
2025-11-19,https://cafe.naver.com/feko/10114896,7,82,얼굴 지흡 상담 끝~,문나래 매니저,1
2025-11-19,https://sungyesa.com/new/d04/318294,1,229,https://sungyesa.com/new/bbs/board.php?bo_table=d04&wr_id=318294,문나래 매니저,
2025-11-19,https://sungyesa.com/new/b01/1212253,5,444,https://sungyesa.com/new/bbs/board.php?bo_table=b01&wr_id=1212253,문나래 매니저,
2025-11-19,https://cafe.naver.com/feko/10113189,18,268,남자코 자연스럽게 수술했어요,차예나 매니저,4
2025-11-18,https://sungyesa.com/new/d03/714419,1,255,https://sungyesa.com/new/bbs/board.php?bo_table=d03&wr_id=714419,문나래 매니저,
2025-11-18,https://cafe.naver.com/feko/10108471,18,246,실리프팅 얼굴지방흡입 후기,문나래 매니저,4
2025-11-18,https://sungyesa.com/new/b01/1211999,6,315,무보형물 매부리 코수술 후기,문나래 매니저,
2025-11-17,https://sungyesa.com/new/d04/318155,1,267,https://sungyesa.com/new/bbs/board.php?bo_table=d04&wr_id=318155,문나래 매니저,
2025-11-17,https://sungyesa.com/new/d04/318151,1,187,얼굴지방흡입 하고 얼굴형 정리됐어요,문나래 매니저,
2025-11-17,https://cafe.naver.com/feko/10103602,20,370,히트에서 이마축소 받았어요,문나래 매니저,6
2025-11-14,https://sungyesa.com/new/b01/1211458,3,448,https://sungyesa.com/new/bbs/board.php?bo_table=b01&wr_id=1211458,문나래 매니저,
2025-11-14,https://cafe.naver.com/feko/10097855,11,263,강남 히트성형외과에서 복코수술 받았어요!!! 1달차예요!!,차예나 매니저,4
2025-11-13,https://cafe.naver.com/feko/10093191,7,278,이마축소 전후차이 효과 좋죠 ㅋㅋ,문나래 매니저,2
2025-11-12,https://sungyesa.com/new/b01/1211130,4,478, 화살코 자연스럽게 코수술 받았어,문나래 매니저,
2025-11-12,https://cafe.naver.com/feko/10090343,7,198,엘라비에 리투오 효과 엄청 좋네요~,문나래 매니저,2
2025-11-12,https://cafe.naver.com/feko/10089298,4,93,히트에서 쌍트한지 한달 다 되어가요!,김채운 매니저,1
2025-11-12,https://cafe.naver.com/feko/10089095,2,117,상담 받고 이마축소 수술 예약까지 하고 왔어요!!,문나래 매니저,
2025-11-12,https://cafe.naver.com/feko/10088938,0,0,,문나래 매니저,
2025-11-11,https://cafe.naver.com/feko/10085662,3,242,이마축소 실밥제거 하고 오니까 좀 낫네요!!!!!!!,문나래 매니저,
2025-11-11,https://cafe.naver.com/feko/10085711,26,254,"강남 히트성형외과 내시경이마거상 상담, 금액 후기",차예나 매니저,10
2025-11-11,https://sungyesa.com/new/d04/317800,6,572,얼지흡 했는데 얼굴형 바뀜,문나래 매니저,
2025-11-11,https://sungyesa.com/new/d04/317796,1,281,이마축소 후기,문나래 매니저,
2025-11-11,https://cafe.naver.com/feko/10084668,4,382,눈재수술+트임 하고 꼬막눈 이제야 탈출했어요ㅠㅠㅠㅠ,문나래 매니저,
2025-11-10,https://cafe.naver.com/feko/10080767,8,224,히트성형외과 내시경이마거상 한상철원장님 상담후기,차예나 매니저,2
2025-11-10,https://cafe.naver.com/feko/10080001,2,51,더 나이들기전에 재수술하길 너무 잘한것같아요,김채운 매니저,1
2025-11-10,https://cafe.naver.com/feko/10078840,9,325,히트성형외과 자가늑으로 코끝수술 받은 후기입니당,차예나 매니저,1
2025-11-07,https://cafe.naver.com/feko/10074081,22,269,얼굴지방흡입 실리프팅 회복할게 없네요~,문나래 매니저,6
2025-11-07,https://cafe.naver.com/feko/10072840,14,211,내시경이마거상 실고정 본터널링 수술후기,차예나 매니저,4
2025-11-06,https://sungyesa.com/new/d03/712803,,"1,583",이마거상이랑 쌍수 같이 하고 이미지 확 바꼇대,문나래 매니저,
2025-11-06,https://cafe.naver.com/feko/10069809,10,119,이마축소 히트에서 수술 받고왔어요 실밥 얼른 제거하고픈..,문나래 매니저,2
2025-11-06,https://cafe.naver.com/feko/10069558,0,62,얼굴지방흡입 상담후기!,문나래 매니저,1
2025-11-06,https://cafe.naver.com/feko/10068384,42,417,이마축소 했는데 체감상 반절이 줄어든거 같아요,문나래 매니저,10
2025-11-06,https://cafe.naver.com/feko/10070445,4,87,히트성형외과 상담후기 중년 안면거상 수술비용 공유,차예나 매니저,2
2025-11-05,https://sungyesa.com/new/b01/1210165,4,651,코수술 성공 후기,문나래 매니저,
2025-11-05,https://cafe.naver.com/feko/10065655,4,263,"쌍트, 눈교 이정도면 대성공인거죠!?",김채운 매니저,1
2025-11-04,https://sungyesa.com/new/d04/317388,2,323,얼굴지방흡입 실리프팅 효과 만족스럽,문나래 매니저,
2025-11-04,https://cafe.naver.com/feko/10060823,7,133,이마 드디어 줄이고왔읍니다ㅜㅠㅠ,문나래 매니저,
2025-11-04,https://cafe.naver.com/feko/10060526,24,418,눈이 또렷해보이지 않아 내시경이마거상 수술받은 후기요!,차예나 매니저,8
2025-11-04,https://sungyesa.com/new/d04/317370,4,407,이마축소 세달 지난 후기,문나래 매니저,
2025-11-03,https://cafe.naver.com/feko/10057142,2,101,첫쌍수 자연유착 괜찮네요!?,김채운 매니저,
2025-11-03,https://cafe.naver.com/feko/10056944,20,344,히트성형외과 화려코 한상철원장님 코수술 후기요!,차예나 매니저,5
2025-11-03,https://cafe.naver.com/feko/10055851,0,0,,문나래 매니저,
2025-10-31,https://cafe.naver.com/feko/10050251,8,111,환절기에 리투오 효과 진짜 좋아용~🫶,문나래 매니저,1
2025-10-31,https://cafe.naver.com/feko/10050179,24,230,히트 이마축소 상담 다녀왔어요~,문나래 매니저,1
2025-10-30,https://cafe.naver.com/feko/10047431,8,413,복코 히트성형외과 무보형물코수술 후기입니당,차예나 매니저,
2025-10-30,https://cafe.naver.com/feko/10047121,7,215,히트성형외과로 쌍수 결정했어요!,김채운 매니저,1
2025-10-30,https://cafe.naver.com/feko/10045567,15,209,이마축소 상담 다 다녀왔고 수술도 예약했어요~3~,문나래 매니저,2
