날짜,게시글 URL,,,댓글,조회수,글 제목,,,,,병원,,작업자
2025-08-21,https://cafe.naver.com/feko/9822252,,,14,116,매부리코 잘하는 병원이랑 원장님 정보 좀,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-08-22,https://cafe.naver.com/feko/9826948,,,10,169,휜코 수술 잘하는 병원 알려주세요ㅠㅠ,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-08-22,https://cafe.naver.com/feko/9826660,,,7,109,내년에 코수술 받을까 생각 중,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-08-25,https://cafe.naver.com/feko/9833118,,,7,83,화살코 잘봐주는 원장님 정보 부탁드려요!,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-08-25,https://cafe.naver.com/feko/9832927,,,3,83,미호 아우어 오블리 코원 무보형물 수술 받아보신 분 계세요?!,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-08-28,https://cafe.naver.com/luxury009/1327848,,,15,159,코수술 후 3년동안 단차 더 심해짐 비개방 재수술ㅡ,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-08-28,https://cafe.naver.com/feko/9847546,,,3,59,코 발품돌때 매부리코 잘하는데는 절골유무 설명도 잘해주죠...?,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-08-28,https://cafe.naver.com/feko/9847508,,,7,129,첫코수술 자연스럽게 잘해주는 병원,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-09-04,https://cafe.naver.com/luxury009/1331835,,,6,217,무보형물 코수술 2년차 코끝 단차 더 심해짐. 비개방재수술.,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-09-04,https://cafe.naver.com/feko/9871411,,,14,157,자연스럽게 오똑해지게 코수술 잘해주는 원장님 찾는중,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-09-05,https://cafe.naver.com/feko/9875684,,,8,82,자연 자려 느낌나게 무보형물 잘하는 병원,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-09-08,https://cafe.naver.com/feko/9881529,,,11,128,어려운코수술 많이하는 원장님과 병원 알려주세요,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-09-10,https://cafe.naver.com/feko/9891331,,,0,0,,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-09-18,https://cafe.naver.com/feko/9920179,,,23,177,코수술 병원 알아보는 중,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-09-19,https://cafe.naver.com/feko/9924344,,,6,74,매부리코도 무보형물로 할 수 있죠?,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-09-22,https://cafe.naver.com/feko/9931116,,,16,79,매부리랑 복코... 둘다 있었던 분들은 어디서 수술 하셨는지ㅠ,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-09-22,https://cafe.naver.com/feko/9931040,,,14,101,매부리코 화살코에서 벗어나고 싶어요 ㅜㅜㅜ,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-09-23,https://cafe.naver.com/feko/9935793,,,8,72,자연스럽게 하고싶어서 병원이랑 후기 계속 보는데,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-09-26,https://cafe.naver.com/luxury009/1345123,,,5,268,코수술 2년차에 코끝 단차 더 심해져서 비개방재수술.,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-03,https://cafe.naver.com/feko/9969452,,,7,97,휜코 어려운코 잘하는 병원 알아보는 중,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-13,https://cafe.naver.com/feko/9986218,,,12,143,무보형물로 자연스럽게 문제점만 개선시켜주는 원장님요ㅠㅠ,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-17,https://cafe.naver.com/luxury009/1357805,,,11,93,실리콘 제거후에 코끝 단차가 심하게 생겼어요,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-23,https://cafe.naver.com/feko/10024542,,,13,148,무보형물로 코수술 가능할까요..? 자연자려st로 하고싶은데,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-24,https://cafe.naver.com/feko/10029122,,,11,412,실리콘 제거후 코끝단차 심해진 분들 계시나요....,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-24,https://cafe.naver.com/feko/10029100,,,6,94,제가 원하는게 자려한 느낌이었어요 무보형물로 자려하게 수술받을 수 있는 병원,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-28,https://cafe.naver.com/feko/10039356,,,14,94,매부리에 코끝처짐 있어요 병원 추천 해주세요,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-03,https://cafe.naver.com/feko/10055760,,,8,131,매부리코 절골없이 무보형물로 받으신분 계신가용?,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-04,https://cafe.naver.com/luxury009/1368262,,,7,55,3년전 무보형물로 수술받고 코끝에 단차가 생겼는데요,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-04,https://cafe.naver.com/feko/10060532,,,22,160,복코여서 자연자려 스타일로 수술하려고 알아보는대요,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-05,https://cafe.naver.com/feko/10064297,,,16,157,매부리가 있는 화살코 자연스럽게 수술하신 분들 어디서하셨어요ㅠㅠㅠㅠ,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-18,https://cafe.naver.com/luxury009/1375514,,,3,72,코끝단차 생겨서 재수술 받으신 분들 정보 좀...,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-24,https://cafe.naver.com/feko/10130591,,,6,89,한달동안 매부리코수술 잘하는데 손품 중,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-25,https://cafe.naver.com/feko/10135048,,,14,154,무보형물코성형 잘하는 병원 손품중이요,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-26,https://cafe.naver.com/feko/10139827,,,0,0,,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-27,https://cafe.naver.com/luxury009/1381081,,,6,134,8년간 더 심해진 코끝단차 재수술 알아봅니다...,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-08,https://cafe.naver.com/feko/10179920,,,1,93,아우어성형외과 매부리코 화살코 무보형물 후기,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-09,https://cafe.naver.com/luxury009/1388298,,,11,80,코끝단차 비개방재수술 정보,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-11,https://cafe.naver.com/feko/10193340,,,8,140,복코수술+ 콧볼축소 이렇게 하고싶은데 무보형물로 가능할까요??,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-05,https://cafe.naver.com/luxury009/1403088,,,2,9,코끝단차 비개방 재수술 정보 필요해요,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-14,https://cafe.naver.com/feko/10301596,,,6,38,매부리코 무보형물 잘하는 병원들 리스트 추천좀용,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-15,https://cafe.naver.com/feko/10306681,,,7,34,복코를 자연자려한 직반라인으로 개선하려고 병원 알아보는대요,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-19,,,,,,아우어성형외과 무보형물코수술 2주차 후기 매부리코 코끝처짐 심함,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2026-01-19,https://cafe.naver.com/feko/10317876,,,5,44,무보형물코수술로 알아보고 있는데 유명한 병원들이요!!,,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
