날짜,,글 제목,게시글 URL,,댓글,조회수,,,,,,병원,작업자
2025-09-09,,다름성형외과 눈재수술 문유진원장님 상담 후기요,https://cafe.naver.com/feko/9884096,,10,167,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-09-09,,자연스럽게 코재수술 하려고 발품 미친듯이 다녀보며 배운점과 느낀점 공유,https://sungyesa.com/new/bbs/board.php?bo_table=free&wr_id=6148957,,,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-09-08,,매부리코 화살코 무보형물로 자연스럽게 받고온 수술후기,https://cafe.naver.com/feko/9880433,,20,161,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-09-08,,코재수술 3개월차 난 이제 맘 놓는다,https://sungyesa.com/new/free/6146206,,,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-09-04,,쌍수 자려하게 세미아웃으로 받은 후기😆,https://cafe.naver.com/feko/9869266,,34,381,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-09-02,,강남역 다름성형외과 코수술 상담후기,https://cafe.naver.com/feko/9859922,,23,497,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-09-01,,다름성형외과 문유진 원장님 남자눈 상담 후기입니다,https://cafe.naver.com/feko/9855725,,4,76,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-09-01,,눈 재수술 제발 잘되야 할텐데…,https://sungyesa.com/new/free/6127286,,,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-26,,남자눈 수술후기 3주차입니다!,https://cafe.naver.com/feko/9835984,,14,133,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-26,,살짝 소세지였던 눈이 겹주름까지 생겨서 결국 눈재수술 받기로 했음,https://sungyesa.com/new/bbs/board.php?bo_table=free&wr_id=6108974,,4,164,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-25,,눈이 너무 꽉막혀있고 답답해 보여서 쌍수받았어요,https://cafe.naver.com/feko/9831142,,13,155,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-25,,예사들아 나 코 자연스럽게 재수술 받아 응원 좀 해주라,https://sungyesa.com/new/bbs/board.php?bo_table=free&wr_id=6105606,,1,77,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-22,,코 전체제거 받은 다음에 무보형으로 재수술 받은거 성공한거 같아 + 응원 고마웠어!,https://sungyesa.com/new/bbs/board.php?bo_table=free&wr_id=6098284,,185,7867,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-19,,"강남 다름 쌍수 인라인, 인아웃, 세미아웃, 자연유착 상담후기!",https://cafe.naver.com/feko/9810827,,1,127,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-18,,눈밑지방재배치 효과 괜찮은데요?,https://cafe.naver.com/feko/9806761,,16,197,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-18,,눈 재수술 자연스럽게 하려고 발품도는 중 후기,https://sungyesa.com/new/bbs/board.php?bo_table=walk&wr_id=89163,,1,257,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-13,,쌍수 자연유착 상담후기,https://cafe.naver.com/feko/9794601,,3,102,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-13,,코수술을 왜 신중하게 해야하는지 알려줌,https://sungyesa.com/new/bbs/board.php?bo_table=free&wr_id=6069002,,14,699,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-12,,쌍수 눈매교정으로 눈 비대칭 교정한 3개월차 후기!,https://cafe.naver.com/feko/9791077,,8,257,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-12,,코재수술 받은지 2달차 자가늑으로 했는데 자연스럽게 잘된거 같음 개다행이다;;,https://sungyesa.com/new/bbs/board.php?bo_table=free&wr_id=6065438&page=2,,19,467,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-11,,심각하게 꼬막눈이라 강남에서 쌍트했어요!,https://cafe.naver.com/feko/9786753,,11,179,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-06,,눈짝짝이고 겹주름도 있어서 쌍수받았어요!!!,https://cafe.naver.com/feko/9770727,,8,209,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-08-04,,무쌍눈에서 벗어나고 싶어서 쌍수받은 후기!!!,https://cafe.naver.com/feko/9763220,,4,240,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
