날짜,,글 제목,게시글 URL,,댓글,조회수,쪽지 수량,,,,,,병원,작업자
2025-09-17,,겹주름 때문에 자연스럽게 눈재수술 받으려고 알아보는데,https://cafe.naver.com/feko/9913212,,17,122,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-09-17,,코수술은 진짜 한번에 안끝나는거 같아,https://sungyesa.com/new/free/6168921,,10,504,1,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-09-18,,상담 꼼꼼하게 잘봐주는 코전문 원장님 아시는분,https://cafe.naver.com/feko/9918728,,7,57,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-09-22,,자연스럽게 코수술 받을 수 있는 병원 찾아요,https://cafe.naver.com/feko/9928627,,14,112,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-09-23,,쌍수 극자연스럽게 해주는 원장님 수소문 중,https://cafe.naver.com/feko/9933598,,17,241,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-09-24,,코재수술 다름성형외과 어때요?,https://cafe.naver.com/feko/9937976,,8,158,2,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-09-25,,실리콘 제거하고 재수술까지 한 사람…..,https://sungyesa.com/new/nosenew/363733,,12,277,2,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-09-30,,쌍수랑 눈밑지 같이 상담+수술 가능한 병원 알려주세요,https://cafe.naver.com/feko/9957189,,4,41,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-10-01,,자연스럽게 어울리는 라인 잡아주는 원장님 더 찾아요ㅜㅜ,https://cafe.naver.com/feko/9961586,,15,216,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-10-02,,,https://cafe.naver.com/feko/9966079,,0,0,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-10-09,,눈 자연스럽게 잘하는 병원 더요.....!!!,https://cafe.naver.com/feko/9975100,,25,227,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-10-10,,코로 유명한 원장님 중 코재 전문으로 하는 원장님이요~,https://cafe.naver.com/feko/9976752,,14,255,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-10-13,,,https://cafe.naver.com/feko/9983239,,0,0,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-10-13,,,https://cafe.naver.com/feko/9983009,,0,0,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-10-17,,코 자연스럽게 무보형물로 하는거 어때용?,https://cafe.naver.com/feko/10002454,,10,166,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-10-29,,강남역 다름 송진우원장님 상담 어떤지 정보 좀 알려주세요...,https://cafe.naver.com/feko/10041620,,1,39,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-11-05,,쌍수랑 눈밑지 같이하려고요,https://cafe.naver.com/feko/10064803,,14,93,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-11-07,,"다름성형외과 매부리코, 코끝처짐 어때요? 코 하려고 알아봤는데",https://cafe.naver.com/feko/10072385,,1,48,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-11-10,,자연스럽게 코재수술 하려고 합니다~,https://cafe.naver.com/feko/10078651,,16,139,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-11-11,,코수술때문에 병원 찾아볼때 현혹되지 말아야하는거 알려줄게,https://sungyesa.com/new/free/6308615,,9,2195,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-11-11,,쌍수 자연스럽게 해주는 병원 좀 알려주세요!,https://cafe.naver.com/feko/10083108,,15,144,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-11-12,,매부리코 많이하는 원장님 병원 알아보고 있습니다,https://cafe.naver.com/feko/10087706,,7,79,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-11-12,,소세지눈도 라인이 풀리긴하네..^^ 덕분에 짝짝이 심해짐,https://sungyesa.com/new/free/6311486,,4,1316,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-11-14,,코 자연스럽게 재수술한 예사들 어때 만족해?,https://sungyesa.com/new/free/6317585,,8,320,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-11-18,,자연스럽게 코재수술 받을까 너무 고민되고 미치겠어,https://sungyesa.com/new/free/6327688,,4,151,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-11-21,,자연스럽게 코재수술 하려고 병원 상담 다니는 중인데 첫수술 받으려는 예사들아 원장님 미감과 원하는 스타일을 잘 맞춰서 찾아봐..,https://sungyesa.com/free/6335187,,3,195,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-11-24,,소세지눈+한쪽풀려서 짝짝이 인 상태라^^ 재수술 받으려고 하는데,https://sungyesa.com/free/6339751,,3,83,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-11-25,,쌍수 첫수에 성공한 사람들 진짜 부럽다 난 두번째 재수술해... 자연스럽게만 됐으면…,https://sungyesa.com/free/6342730,,4,598,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-11-26,,코재수술 때문에 병원 알아봐 자연스럽게 해주는데 알려줘 제발,https://sungyesa.com/free/6346073,,2,113,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-11-27,,이딴코로는 못살겠어서 자연스럽게 재수술 받으려고 발품 시작해,https://sungyesa.com/free/6349435,,12,1134,6,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-11-28,,소세지가 극한눈이잖아..? 그럼 난 개극한눈인거야..?,https://sungyesa.com/free/6351355,,2,62,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-02,,,https://sungyesa.com/hlist/324555,,,,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-02,,코재수술 실리콘+늑 다 제거하고 자가연골로 코끝만 무보형물로 자연스럽게 할거 같아,https://sungyesa.com/free/6361524,,4,288,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-08,,첫수때 잡았던 라인 풀리면서 겹주름도 심해져서.. 결국 눈재수술하기로 했다 하^^ㅋ,https://sungyesa.com/free/6378506,,3,387,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-09,,"실리콘제거, 코끝은 무보형물로 코재수술 자연스럽게 할거같아",https://sungyesa.com/free/6383206,,4,425,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-10,,개미 눈꼽만큼도 맘에 안드는 화려코 때문에 자연스럽게 재수술 받는다,https://sungyesa.com/free/6386289,,6,558,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-15,,짝짝이눈 개심해져서 잡을겸.. 눈재수술 자연스럽게 하려고 예약함..,https://sungyesa.com/free/6400200,,8,249,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-16,,코수술 자연스럽게 하고싶어서 후기 미친듯이 찾아보고 있는데,https://sungyesa.com/free/6402800,,6,406,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-17,,,https://sungyesa.com/hlist/330410,,,,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-17,,코재수술 또는 무보형물재수술 다름성형외과에서 받으신분 계신가요~,https://cafe.naver.com/feko/10212556,,5,34,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-18,,부모님 눈수술은 따로 가는 병원들이 있나요?,https://cafe.naver.com/feko/10218662,,13,97,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-19,,첫수술 자려한 스타일로 병원 알아보고 있어요!,https://cafe.naver.com/feko/10222079,,9,135,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-22,,눈전문 병원으로 알아보고 있어요,https://cafe.naver.com/feko/10227376,,14,141,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-23,,실리콘 제거하고 무보형물로 코끝만 재수술하신분,https://cafe.naver.com/feko/10231097,,5,84,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-24,,눈밑지 잘하는 병원 알려주세요,https://cafe.naver.com/feko/10235483,,18,132,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-26,,저희 엄마 눈밑지 vs 하안검 뭐가 더 필요할거 같아요...?!,https://cafe.naver.com/feko/10240203,,13,196,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-29,,뉴진스 해린 코 느낌으로 잘하는 병원요!,https://cafe.naver.com/feko/10245890,,13,340,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2025-12-30,,쌍수랑 눈밑지 같이하려고 눈전문 병원으로 보는데,https://cafe.naver.com/feko/10250531,,8,35,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2026-01-06,,눈밑지랑 눈재수술 같이 받을 수 있는 병원 알려줄 사람~~~,https://cafe.naver.com/feko/10269482,,,,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2026-01-13,,"눈재수술 받아야 할거같은데 병원 알아보기가 진짜 힘들다,,ㅜ",https://sungyesa.com/free/6483505,,,,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2026-01-15,,완전 자연스러운 코수술,https://sungyesa.com/free/6492236,,,,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2026-01-15,,구축코 전체제거하고 코끝재수술 하신분들~,https://cafe.naver.com/feko/10303624,,,,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2026-01-19,,눈재수술이 필요한데 진짜 자연스럽게 하고싶거든...?,https://sungyesa.com/free/6506814,,,,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2026-01-20,,중년눈수술 자연스럽게 잘해주는 병원들이여,https://cafe.naver.com/feko/10320974,,,,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
2026-01-21,,코재수술 현실적으로 상담 + 어울리는 자연스러운 라인 찾아주는 원장님 아는사람ㅠㅠ,https://cafe.naver.com/feko/10325024,,,,,,,,,,다름성형외과 (내부용) (https://www.notion.so/23f286f326ff807fad62dd610a0522a6?pvs=21),차예나 매니저
