날짜,,글 제목,게시글 URL,,댓글,조회수,,쪽지 수량,,,,,병원,작업자
2025-12-09,,혹시 코수술하고 수술전 코로 돌아가고 싶어서 조기제거 한 분 계신가요............,https://cafe.naver.com/feko/10183433,,3,90,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-12-09,,전체제거 프리마 어떤가요?,https://cafe.naver.com/feko/10182050,,2,69,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2025-12-08,,코 실리콘 제거할까요?,https://cafe.naver.com/feko/10179355,,2,127,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-12-08,,코수술 전체제거 병원 초성,https://cafe.naver.com/luxury009/1387547,,4,202,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-12-08,,코 실리콘 자가늑 전체제거 급해요ㅠㅠ,https://cafe.naver.com/feko/10177779,,20,322,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2025-12-05,,코 제거로 많이 가는곳 있으면 알려주세요,https://cafe.naver.com/luxury009/1386166,,5,73,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-12-05,,L자실리콘 구축 전체제거 빨리 해야겠죠..,https://cafe.naver.com/feko/10170910,,5,132,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2025-12-04,,코 전체제거 전문 병원 추천해주세요,https://cafe.naver.com/feko/10166317,,6,139,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),박민정 매니저
2025-12-03,,티나는 뾰족코 제거 원해요 ㅠㅠ,https://cafe.naver.com/luxury009/1384531,,7,109,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-12-03,,프리마 코제거 후기 실리콘+늑 전체제거,https://cafe.naver.com/luxury009/1384502,,17,191,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-12-02,,코 제거 알아보는중이에요,https://cafe.naver.com/feko/10159770,,10,138,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-12-02,,코 전체제거 고민중이에요ㅜ,https://cafe.naver.com/feko/10159333,,6,215,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-11-28,,전체 제거 잘하는 병원 있을까요?,https://cafe.naver.com/feko/10148616,,4,101,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-27,,l자 실리콘 제거 고민이네요,https://cafe.naver.com/luxury009/1380967,,2,66,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-27,,실리콘 늑 전체제거 상담 받을 수 있는 병원 알려주세요..,https://cafe.naver.com/feko/10143905,,3,78,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-11-26,,,https://cafe.naver.com/feko/10139183,,0,0,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-26,,코수술 전체제거 전문으로 하는 병원들 가보려는데요,https://cafe.naver.com/feko/10138257,,12,237,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-11-24,,,https://cafe.naver.com/luxury009/1378921,,0,0,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-24,,실리콘 늑 전체제거,https://cafe.naver.com/luxury009/1378853,,5,46,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-11-21,,,https://cafe.naver.com/feko/10123368,,0,0,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-21,,재수술 고민했다가 아예 전체제거를 생각하고 있는데요...,https://cafe.naver.com/feko/10123352,,11,176,,1,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-11-19,,,https://cafe.naver.com/luxury009/1376170,,0,0,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-19,,프리마 코 실리콘 자가연골 전체제거 후기,https://cafe.naver.com/luxury009/1376118,,15,200,,2,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-11-18,,,https://cafe.naver.com/luxury009/1375364,,0,0,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-17,,코 전체제거 고민인데요......,https://cafe.naver.com/luxury009/1374735,,5,85,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-11-14,,,https://cafe.naver.com/feko/10098898,,0,0,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-13,,,https://cafe.naver.com/feko/10094498,,0,0,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-13,,코 전체제거 상담 가보려고 하는데요,https://cafe.naver.com/feko/10093735,,4,136,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-11-12,,,https://cafe.naver.com/luxury009/1372488,,0,0,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-12,,코 전체제거,https://cafe.naver.com/luxury009/1372360,,4,71,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-11-11,,,https://cafe.naver.com/luxury009/1371801,,0,0,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-10,,전체제거 전문으로 하는 병원 알아보고 있어요,https://cafe.naver.com/feko/10080391,,9,138,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),차예나 매니저
2025-11-05,,,https://cafe.naver.com/luxury009/1368956,,0,0,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-04,,,https://cafe.naver.com/feko/10060468,,0,0,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
2025-11-03,,,https://cafe.naver.com/feko/10057513,,0,0,,,,,,,프리마성형외과 (내부용) (https://www.notion.so/295286f326ff80928beae4e348354a9b?pvs=21),홍채이
