날짜,담당자,,글 제목,게시글 URL,댓글,조회수,작업자,쪽지 수량
2026-01-05,차예나 매니저,,코끝처짐 무보형물코재수술 아우어성형외과 수술 1달차 후기,https://cafe.naver.com/feko/10268031,0,170,차예나 매니저,
2026-01-05,차예나 매니저,,매부리와 단차있던 코 비개방으로 코수술한 후기요,https://cafe.naver.com/feko/10267958,0,117,차예나 매니저,
2026-01-02,차예나 매니저,,신사 아우어성형외과 무보형물로 자연스럽게 수술하고 1달차,https://cafe.naver.com/feko/10261331,5,177,차예나 매니저,2
2026-01-02,차예나 매니저,,코수술만 N번째 마지막이길 바라며 코끝단차와 연골비침 때문에 재수술한 후기,https://cafe.naver.com/feko/10261171,1,250,차예나 매니저,
2025-12-30,차예나 매니저,,매부리 심하고 코끝처짐도 있어서 코수술 받았어요...!,https://cafe.naver.com/feko/10252762,4,145,차예나 매니저,1
2025-12-29,차예나 매니저,,매부리있는 화살코 무보형물로 코수술 받은지 2주차요!,https://cafe.naver.com/feko/10248381,4,145,차예나 매니저,2
2025-12-26,차예나 매니저,,아우어성형외과 무보형물코성형 후기,https://cafe.naver.com/feko/10242005,4,191,차예나 매니저,
2025-12-26,차예나 매니저,,코에 다시 손을 대는게 고민이 많았는데 코끝단차가 너무 심해서 재수술 하기로 했어요,https://cafe.naver.com/luxury009/1398614,7,69,차예나 매니저,2
2025-12-24,차예나 매니저,,코수술 성공한 후기 직반라인으로 받은거 코끝도 유지 잘되고 있어요😊,https://cafe.naver.com/feko/10237375,4,155,차예나 매니저,
2025-12-23,차예나 매니저,,아우어성형외과 복코수술 후기😊,https://cafe.naver.com/feko/10233473,0,149,차예나 매니저,
2025-12-22,차예나 매니저,,매부리가 너무 심해 절골하고 무보형물로 코수술 한 9개월차 후기,https://cafe.naver.com/luxury009/1396411,2,78,차예나 매니저,1
2025-12-22,차예나 매니저,,신사 아우어성형외과 매부리코 무보형물코수술 후기용,https://cafe.naver.com/feko/10229312,19,287,차예나 매니저,6
2025-12-19,차예나 매니저,,남자 무보형물 코수술 후기입니다!,https://cafe.naver.com/feko/10223097,3,263,차예나 매니저,
2025-12-19,차예나 매니저,,신사역 아우어성형외과 무보형물코성형 매부리코 후기여,https://cafe.naver.com/feko/10222646,6,238,차예나 매니저,
2025-12-18,차예나 매니저,,휜코 복코 때문에 받은 남자코수술 1달차입니다..!,https://cafe.naver.com/feko/10219367,0,98,차예나 매니저,
2025-12-18,차예나 매니저,,아우어 성형외과 무보형물코수술 1달차 후기,https://cafe.naver.com/feko/10219306,2,251,차예나 매니저,
2025-12-17,차예나 매니저,,코 낮은게 너무 싫어 이제야 코수술을 받은 후기,https://cafe.naver.com/feko/10214244,0,106,차예나 매니저,
2025-12-17,차예나 매니저,,코끝단차 때문에 비개방재수술 받은 후기.. 단차는 이렇게 해결요...,https://cafe.naver.com/luxury009/1394315,7,148,차예나 매니저,1
2025-12-17,차예나 매니저,,아우어성형외과 남자코수술 후기요~,https://cafe.naver.com/feko/10214115,0,99,차예나 매니저,
2025-12-16,차예나 매니저,,무보형물코재수술 신사 아우어성형외과 수술 2주차 후기,https://cafe.naver.com/feko/10209488,4,241,차예나 매니저,1
2025-12-16,차예나 매니저,,아우어성형외과 코끝단차 비개방재수술 상담후기,https://cafe.naver.com/feko/10209427,52,367,차예나 매니저,11
2025-12-15,차예나 매니저,,비개방 무보형물코성형 받고온 후기요,https://cafe.naver.com/feko/10204580,6,202,차예나 매니저,
2025-12-15,차예나 매니저,,아우어성형외과 매부리코 무보형물코수술 1달차 후기!,https://cafe.naver.com/feko/10204517,0,140,차예나 매니저,
2025-12-12,차예나 매니저,,아우어성형외과 무보형물코성형 후기 매부리코+코끝떨어짐,https://cafe.naver.com/feko/10197171,9,297,차예나 매니저,3
2025-12-12,차예나 매니저,,"몇 번의 코수술로 생긴 코끝단차, 연골비침 때문에 재수술 다시받은 후기",https://cafe.naver.com/luxury009/1390552,16,192,차예나 매니저,
2025-12-12,차예나 매니저,,"자연, 최대 자려하게 복코수술 해달라고해서 받은 후기 미용코+기능코 같이 수술했어요",https://cafe.naver.com/feko/10196496,2,158,차예나 매니저,1
2025-12-11,차예나 매니저,,매부리코 무보형물로 코수술한지 9개월 단차나 코끝처짐은 없는거 같아요 너무 다행..,https://cafe.naver.com/luxury009/1389901,18,139,차예나 매니저,7
2025-12-11,차예나 매니저,,코끝단차와 연골비침 때문에 상담받은 코재수술 후기와 금액 공유해요,https://cafe.naver.com/feko/10193269,25,285,차예나 매니저,10
2025-12-10,차예나 매니저,,남자코 아우어성형외과 무보형코수술 기능코 같이 받았습니다,https://cafe.naver.com/feko/10188973,0,139,차예나 매니저,
2025-12-10,차예나 매니저,,뭉툭한 복코 자연스럽게 무보형물로 수술받은 2주차 후기,https://cafe.naver.com/feko/10188957,9,152,차예나 매니저,4
2025-12-09,차예나 매니저,,매부리코+긴코 옆모습 실루엣 변신을 꿈꾸고 코수술받은 후기랄까나🥲,https://cafe.naver.com/feko/10184272,2,88,차예나 매니저,
2025-12-08,차예나 매니저,,무보형물코수술 1달차 후기 아우어성형외과 매부리코 코끝처짐 전후,https://cafe.naver.com/feko/10179822,2,191,차예나 매니저,
2025-12-05,차예나 매니저,,실리콘 압박감으로 제거 후 코끝단차 생겨서 단차재수술받았는데 잘 채워진거 같아요ㅜ,https://cafe.naver.com/luxury009/1386241,6,91,차예나 매니저,1
2025-12-05,차예나 매니저,,아우어 성형외과 이우연 원장님 복코수술 자려st 후기,https://cafe.naver.com/feko/10173421,0,207,차예나 매니저,
2025-12-05,차예나 매니저,,✨실리콘 티가 너무 많이 나고 찝힌코 때문에 코재수술 받고 2주차네요,https://cafe.naver.com/feko/10173283,4,248,차예나 매니저,
2025-12-03,차예나 매니저,,매부리코 + 코끝단차 재수술후기,https://cafe.naver.com/feko/10164721,0,129,차예나 매니저,
2025-12-03,차예나 매니저,,낮은 복코 때문에 너무 스트레스라 해결하려고 코수술 받은 후기입니닷,https://cafe.naver.com/feko/10164691,0,144,차예나 매니저,
2025-12-02,차예나 매니저,,복코 매부리코 둘다 있었고 무보형물코수술 받은지 6개월이 됐네요...,https://cafe.naver.com/luxury009/1383830,19,88,차예나 매니저,7
2025-12-02,차예나 매니저,,신사역 아우어성형외과 복코와 화살코 자연스럽게 코수술받은 후기요,https://cafe.naver.com/feko/10160056,2,170,차예나 매니저,
2025-12-01,차예나 매니저,,매부리코 무보형물코성형 후기용,https://cafe.naver.com/feko/10155638,10,211,차예나 매니저,5
2025-12-01,차예나 매니저,,남자코수술 2주차입니다..!,https://cafe.naver.com/feko/10155465,6,142,차예나 매니저,
2025-11-28,차예나 매니저,,,https://cafe.naver.com/feko/10148889,0,0,차예나 매니저,
2025-11-27,차예나 매니저,,아우어성형외과 매부리코 무보형물코수술 2주차 후기!,https://cafe.naver.com/feko/10144804,3,252,차예나 매니저,
2025-11-27,차예나 매니저,,복코를 얄쌍하게 만들고 싶어서 고민하던 코수술받은 후기😭,https://cafe.naver.com/feko/10144572,0,195,차예나 매니저,
2025-11-26,차예나 매니저,,"복코 자려하게 코수술 받은 후기 ,, 미용코+기능코 같이했어요",https://cafe.naver.com/feko/10139964,6,204,차예나 매니저,1
2025-11-25,차예나 매니저,,매부리코에 코끝떨어짐도 심해 무보형물로 코수술 받았어요!!,https://cafe.naver.com/feko/10135167,2,158,차예나 매니저,1
2025-11-24,차예나 매니저,,무보형물 코수술 받고나서 단차가 심해졌는데 비개방으로 재수술은 가능하대요,https://cafe.naver.com/luxury009/1379018,14,168,차예나 매니저,3
2025-11-24,차예나 매니저,,아우어 성형외과 무보형물코수술 2주차 후기,https://cafe.naver.com/feko/10130700,16,299,차예나 매니저,4
2025-11-21,차예나 매니저,,"남자코, 눈수술 자연스럽게 받은 후기입니다",https://cafe.naver.com/feko/10124118,2,137,차예나 매니저,1
2025-11-21,차예나 매니저,,아우어 매부리코 무보형물코수술 2주차 후기 (+ 눈재수술),https://cafe.naver.com/feko/10123971,1,185,차예나 매니저,
2025-11-20,차예나 매니저,,신사 아우어성형외과 매부리코수술 후기ㅜㅜ!,https://cafe.naver.com/feko/10119889,10,205,차예나 매니저,3
2025-11-20,차예나 매니저,,매부리도 심하고 길어보이는 코 무보형물로 수술받은지 9달차,https://cafe.naver.com/luxury009/1376939,8,83,차예나 매니저,3
2025-11-20,차예나 매니저,,코첫수술 망하고 짧은코는 여전해서 무보형물로 재수술 받았어요,https://cafe.naver.com/feko/10119782,4,156,차예나 매니저,
2025-11-19,차예나 매니저,,,https://cafe.naver.com/feko/10115207,0,0,차예나 매니저,
2025-11-19,차예나 매니저,,신사 아우어성형외과 자연스러운 코수술 후기,https://cafe.naver.com/feko/10115060,4,240,차예나 매니저,
2025-11-18,차예나 매니저,,,https://cafe.naver.com/feko/10110453,0,0,차예나 매니저,
2025-11-18,차예나 매니저,,아우어성형외과 매부리코 무보형물코성형 후기요!,https://cafe.naver.com/feko/10110364,6,128,차예나 매니저,2
2025-11-14,차예나 매니저,,"신사 아우어성형외과 매부리코 재수술, 코끝단차 수술 상담후기",https://cafe.naver.com/feko/10099005,15,205,차예나 매니저,7
2025-11-14,차예나 매니저,,코끝단차 때문에 재수술 받았습니다,https://cafe.naver.com/luxury009/1373731,22,213,차예나 매니저,4
2025-11-13,차예나 매니저,,매부리 심했던 코 무보형물수술 콧대 깔끔해졌네용ㅎ,https://cafe.naver.com/feko/10095141,0,90,차예나 매니저,
2025-11-13,차예나 매니저,,복코교정+콧볼축소 무보형물로 받은 후기,https://cafe.naver.com/feko/10095010,0,244,차예나 매니저,
2025-11-12,차예나 매니저,,펑퍼짐해서 콤플렉스였던 복코 해결하고 왔어요...,https://cafe.naver.com/feko/10090274,3,154,차예나 매니저,1
2025-11-12,차예나 매니저,,자연자려st 무보형물코성형 상담후기,https://cafe.naver.com/feko/10090085,9,143,차예나 매니저,4
2025-11-11,차예나 매니저,,복코 무보형물로 수술받고 반년 지났네요,https://cafe.naver.com/luxury009/1371876,17,206,차예나 매니저,8
2025-11-11,차예나 매니저,,,https://cafe.naver.com/feko/10086137,0,0,차예나 매니저,2
2025-11-11,차예나 매니저,,아우어성형외과 매부리코 복코 무보형물코수술 후기!,https://cafe.naver.com/feko/10086044,2,314,차예나 매니저,
2025-11-10,차예나 매니저,,심각한 뚱뚱한 복코에 콧볼까지 잘보이는 긴코 다시태어나서 대만족🥹,https://cafe.naver.com/feko/10081288,8,139,차예나 매니저,3
2025-11-10,차예나 매니저,,첫수에서 콧대만 생기고 코끝은 낮아서 코재수술 받은 후기,https://cafe.naver.com/feko/10081213,2,92,차예나 매니저,1
2025-11-07,차예나 매니저,,아우어성형외과 매부리코 복코 코끝처짐 무보형물코성형 상담후기,https://cafe.naver.com/feko/10073494,12,243,차예나 매니저,5
2025-11-06,차예나 매니저,,코끝단차 비개방재수술 아우어 상담후기요,https://cafe.naver.com/feko/10070677,14,165,차예나 매니저,7
2025-11-06,차예나 매니저,,매부리도 잘보이고 코끝 뭉뚝했던거 무보형물로 잘 된듯요..,https://cafe.naver.com/luxury009/1369330,4,68,차예나 매니저,1
2025-11-03,차예나 매니저,,코재수술 매부리+짧은코 2주차 후기!,https://cafe.naver.com/feko/10057756,2,109,차예나 매니저,1
2025-10-31,차예나 매니저,,매부리에 길게 처져있던 코때문에 무보형물코수술 받았어요..!,https://cafe.naver.com/feko/10051919,2,135,차예나 매니저,
2025-10-30,차예나 매니저,,아우어성형외과 무보형물 남자코수술 후기 한달차입니다,https://cafe.naver.com/feko/10046261,0,102,차예나 매니저,
2025-10-29,차예나 매니저,,,https://cafe.naver.com/feko/10044064,0,0,차예나 매니저,
2025-10-28,차예나 매니저,,"남자코, 눈 수술 같이 받은지 2주 됐어요",https://cafe.naver.com/feko/10039785,2,94,차예나 매니저,
2025-10-28,차예나 매니저,,코수술 후 코끝단차 생겼던거 비개방으로 재수술 받은지 2달차입니다,https://cafe.naver.com/luxury009/1364366,12,91,차예나 매니저,3
2025-10-27,차예나 매니저,,"신사 아우어성형외과 매부리코+화살코 무보형물 상담, 견적 공유!!!",https://cafe.naver.com/feko/10035628,16,156,차예나 매니저,2
2025-10-27,차예나 매니저,,굴곡진 매부리코 무보형물 코수술 후기요 !,https://cafe.naver.com/feko/10035522,4,103,차예나 매니저,1
2025-10-23,차예나 매니저,,코수술 2주차 콧볼 위로 커보이고 코끝 뚱뚱한 복코였던 코의 환골탈태...?,https://cafe.naver.com/feko/10024941,0,113,차예나 매니저,
2025-10-23,차예나 매니저,,복코 직반라인 무보형물 코수술 7개월차,https://cafe.naver.com/luxury009/1361718,6,107,차예나 매니저,2
2025-10-22,차예나 매니저,,똥실했던 복코 아우어성형외과 무보형물코성형 + 콧볼축소 수술후기,https://cafe.naver.com/feko/10020629,0,218,차예나 매니저,
2025-10-22,차예나 매니저,,코재수술 후기입니다ㅜㅜ,https://cafe.naver.com/feko/10020503,0,73,차예나 매니저,
2025-10-21,차예나 매니저,,신사 아우어성형외과 코수술 2주 후기,https://cafe.naver.com/feko/10016071,0,107,차예나 매니저,
2025-10-21,차예나 매니저,,코끝단차 심해져서 재수로 해결요,https://cafe.naver.com/luxury009/1360433,8,121,차예나 매니저,1
2025-10-21,차예나 매니저,,매부리코재수술ㅜㅜ 드디어 매부리 사라졌어요...,https://cafe.naver.com/feko/10015650,1,103,차예나 매니저,
2025-10-20,차예나 매니저,,코수술 후 코끝단차 때문에 비개방 재수술 상담받은 후기,https://cafe.naver.com/feko/10011158,20,320,차예나 매니저,3
2025-10-20,차예나 매니저,,"(큰코, 메부리코, 복코, 긴코) 무보형물 코성형 후기ㅠㅠ 변신 대성공ㅠㅠ",https://cafe.naver.com/feko/10011054,9,220,차예나 매니저,2
2025-10-17,차예나 매니저,,매부리코 해결한 후기ㅜㅜ,https://cafe.naver.com/feko/10004753,4,226,차예나 매니저,
2025-10-17,차예나 매니저,,자연스럽게 코수술 받은지 1달 됐어요 매부리코 복코 같이있는 코,https://cafe.naver.com/feko/10004622,0,152,차예나 매니저,
2025-10-16,차예나 매니저,,신사 아우어성형외과 휜코 코끝처짐 무보형물 상담후기,https://cafe.naver.com/feko/10000374,2,75,차예나 매니저,1
2025-10-16,차예나 매니저,,낮고 안예쁜 코 때문에 수술받았는데 꽤 자연스럽게 높아졌어요ㅜㅜ!!!,https://cafe.naver.com/feko/10000331,5,117,차예나 매니저,2
2025-10-15,차예나 매니저,,매부리 해결하고 싶어서 다듬으면서 무보형물로 코끝수술한 후기 끄적,https://cafe.naver.com/luxury009/1356493,6,94,차예나 매니저,3
2025-10-15,차예나 매니저,,,https://cafe.naver.com/feko/9995630,0,0,차예나 매니저,
2025-10-15,차예나 매니저,,아우어성형외과 복코 첫수술 + 소세지눈 재수술 1달차 후기,https://cafe.naver.com/feko/9995486,0,118,차예나 매니저,
2025-10-14,차예나 매니저,,남자코 무보형물 후기입니다,https://cafe.naver.com/feko/9991193,0,107,차예나 매니저,
2025-10-14,차예나 매니저,,코끝 처짐 심했던 휜코 무보형물로 수술받은지 한달이요,https://cafe.naver.com/feko/9991114,16,237,차예나 매니저,7
2025-10-13,차예나 매니저,,무보형물로 코수술 하고 생겼던 코끝 단차 2년동안 더 심해져서 재수술 받았습니다.,https://cafe.naver.com/luxury009/1354523,30,337,차예나 매니저,9
2025-10-10,차예나 매니저,,복코 자연스럽게 무보형물로 수술받은지 8갤 후기,https://cafe.naver.com/luxury009/1352443,36,222,차예나 매니저,10
2025-10-10,차예나 매니저,,눈코 자연스럽게 받은 후기용,https://cafe.naver.com/feko/9978664,0,87,차예나 매니저,
2025-10-03,차예나 매니저,,코끝단차 없어졌어요ㅜㅜ 첫수술 잘못되서 코끝 쪽에 단차 생겼던거 겨우 해결요ㅜㅜ,https://cafe.naver.com/luxury009/1349365,12,150,차예나 매니저,5
2025-10-02,차예나 매니저,,매부리 복코 자연스럽게 수술받고 2주됐어요,https://cafe.naver.com/feko/9968020,2,157,차예나 매니저,
2025-10-02,차예나 매니저,,무보형물 코수술 3년후 코끝 단차 더 심해져서 비개방 재수술 상담받은 후기,https://cafe.naver.com/feko/9967819,21,871,차예나 매니저,6
2025-10-01,차예나 매니저,,매부리+코끝처짐 때문에 수술 받았어요😔,https://cafe.naver.com/feko/9964238,0,161,차예나 매니저,
2025-10-01,차예나 매니저,,"아우어성형외과 무보형물 복코수술 상담후기, 가격",https://cafe.naver.com/feko/9964181,40,458,차예나 매니저,9
2025-09-30,차예나 매니저,,낮은 복코 첫수술 + 소세지눈 재수술 같이 받고온 후기😭,https://cafe.naver.com/feko/9959113,0,164,차예나 매니저,
2025-09-29,차예나 매니저,,점점 더 맘에드는 코수술 후기 한달차 휜코 매부리코 무보형물로 성공요,https://cafe.naver.com/feko/9955180,11,129,차예나 매니저,
2025-09-29,차예나 매니저,,휜코 때문에 무보형물로 코수술 받고 왔어요..! 어떤가요😭,https://cafe.naver.com/feko/9955098,1,192,차예나 매니저,
2025-09-26,차예나 매니저,,코모양이 너무 안예쁘고 낮아서 코수술 받고왔어요ㅜㅜ 2주차,https://cafe.naver.com/feko/9948462,4,198,차예나 매니저,
2025-09-25,차예나 매니저,,아우어성형외과 매부리코 무보형물코수술 1달차 후기,https://cafe.naver.com/feko/9944471,37,431,차예나 매니저,9
2025-09-24,차예나 매니저,,,https://cafe.naver.com/feko/9941027,0,0,차예나 매니저,
2025-09-24,차예나 매니저,,퍼진복코와 화살코 매부리코까지 대수술 자연스럽게 성공했슴,https://cafe.naver.com/feko/9940939,2,139,차예나 매니저,
2025-09-23,차예나 매니저,,복코+콧볼 최대한 자연스럽게 좁아지게 무보형물로 수술하고 9개월차,https://cafe.naver.com/luxury009/1342750,22,142,차예나 매니저,4
2025-09-23,차예나 매니저,,신사 아우어 성형외과 매부리코+복코 무보형물 상담 후기,https://cafe.naver.com/feko/9935747,2,49,차예나 매니저,1
2025-09-19,차예나 매니저,,첫수 잘못되서 생긴 코끝 단차 재수술,https://cafe.naver.com/luxury009/1340981,5,91,차예나 매니저,1
2025-09-17,차예나 매니저,,코끝 처짐이 심해서 무보형물로 코끝수술 받고 왔습니당ㅜㅜ,https://cafe.naver.com/feko/9915431,13,363,차예나 매니저,6
2025-09-17,차예나 매니저,,아우어성형외과 매부리코 무보형물코수술 상담후기,https://cafe.naver.com/feko/9915460,33,454,차예나 매니저,12
2025-09-16,차예나 매니저,,긴코에 매부리에서 해방ㅜ 코수술받은거 잘된거 같아요ㅜㅜㅜ,https://cafe.naver.com/feko/9911251,4,75,차예나 매니저,1
2025-09-16,차예나 매니저,,3년전 코수술 받고 코끝단차 생겼던거 비개방으로 재수술 받았습니다,https://cafe.naver.com/luxury009/1338655,11,71,차예나 매니저,3
2025-09-15,차예나 매니저,,기능코 미용코 같이 받고온 후기♥️,https://cafe.naver.com/feko/9906812,2,130,차예나 매니저,1
2025-09-15,차예나 매니저,,휘고 매부리도 있었던 코 무보형물로 수술받았어요,https://cafe.naver.com/feko/9906787,12,181,차예나 매니저,2
2025-09-12,차예나 매니저,,퍼진 복코 무보형물로 자연-자려스타일 코수술 1달차,https://cafe.naver.com/feko/9897959,21,307,차예나 매니저,8
2025-09-11,차예나 매니저,,아우어성형외과 매부리코 무보형물코수술 2주차 후기요,https://cafe.naver.com/feko/9895962,2,236,차예나 매니저,0
2025-09-11,차예나 매니저,,매부리코 화살코 무보형물로 수술받은 후기,https://cafe.naver.com/feko/9895834,11,212,차예나 매니저,3
2025-09-10,차예나 매니저,,매부리코 무보형물로 받고나서 7개월 지났네요...,https://cafe.naver.com/luxury009/1335038,6,76,차예나 매니저,2
2025-09-09,차예나 매니저,,매부리코 무보형물로 코수술 잘되서 남기는 후기,https://cafe.naver.com/feko/9884904,2,117,차예나 매니저,1
2025-09-09,차예나 매니저,,무보형물 코수술 후 코끝 단차 비개방 재수술 상담후기,https://cafe.naver.com/feko/9886806,19,296,차예나 매니저,4
2025-09-08,차예나 매니저,,아우어성형외과 화살코 무보형물코수술 상담후기,https://cafe.naver.com/feko/9881695,14,229,차예나 매니저,4
2025-09-08,차예나 매니저,,무보형물로 코수술한지 1년차,https://cafe.naver.com/luxury009/1333488,15,160,차예나 매니저,3
2025-09-04,차예나 매니저,,코수술 자연스럽게 잘된거 같아요 ㅋㅋㅋ,https://cafe.naver.com/feko/9871620,0,128,차예나 매니저,0
2025-09-03,차예나 매니저,,퍼진복코+화살코+매부리코 자연스럽게 코수술받은 솔직후기,https://cafe.naver.com/feko/9867183,12,333,차예나 매니저,3
2025-09-02,차예나 매니저,,아우어성형외과 무보형물 코끝수술 상담후기요,https://cafe.naver.com/feko/9862427,23,323,차예나 매니저,11
2025-09-02,차예나 매니저,,자연스럽게 코수술받은 후기,https://cafe.naver.com/feko/9862328,2,145,차예나 매니저,1
2025-09-01,차예나 매니저,,2년전 코수술 후 생긴 단차 때문에 재수술 받기로 했습니다;;;;;;;;;;;;;;;;;,https://cafe.naver.com/luxury009/1329582,10,163,차예나 매니저,4
2025-08-29,차예나 매니저,,낮은코 때문에 필러만 맞다가 싹 녹이고 코수술 받은 후기🫠,https://cafe.naver.com/feko/9850930,0,101,차예나 매니저,
2025-08-27,차예나 매니저,,극한의 매부리코 수술받은 후기... 저 매부리 사라짐 ㅜㅜ,https://cafe.naver.com/feko/9842799,6,134,차예나 매니저,1
2025-08-27,차예나 매니저,,코끝처지고 짧은코에서 자려하게 성공했어요,https://cafe.naver.com/feko/9842550,10,144,차예나 매니저,1
2025-08-26,차예나 매니저,,휜코 코끝처짐 들린코 때문에 코수술 받고 왔어요ㅜㅜㅜㅜㅜ,https://cafe.naver.com/feko/9838467,3,208,차예나 매니저,2
2025-08-26,차예나 매니저,,"첫코성형 무보형물로 한지 10개월차,,",https://cafe.naver.com/luxury009/1326414,7,97,차예나 매니저,1
2025-08-26,차예나 매니저,,높지만 매부리가 너무 심해서 코수술 받은 한달차 후기,https://cafe.naver.com/feko/9838369,15,277,차예나 매니저,3
