날짜,,,글 제목,게시글 URL,,,,,댓글,조회수,,,,병원,,작업자
2025-12-29,,,매부리있는 화살코 무보형물로 코수술 받은지 2주차요!,https://cafe.naver.com/feko/10248381,,,,,4,132,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-26,,,아우어성형외과 무보형물코성형 후기,https://cafe.naver.com/feko/10242005,,,,,4,180,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-26,,,코에 다시 손을 대는게 고민이 많았는데 코끝단차가 너무 심해서 재수술 하기로 했어요,https://cafe.naver.com/luxury009/1398614,,,,,6,57,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-24,,,코수술 성공한 후기 직반라인으로 받은거 코끝도 유지 잘되고 있어요😊,https://cafe.naver.com/feko/10237375,,,,,4,140,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-23,,,아우어성형외과 복코수술 후기😊,https://cafe.naver.com/feko/10233473,,,,,0,132,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-22,,,매부리가 너무 심해 절골하고 무보형물로 코수술 한 9개월차 후기,https://cafe.naver.com/luxury009/1396411,,,,,2,61,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-22,,,신사 아우어성형외과 매부리코 무보형물코수술 후기용,https://cafe.naver.com/feko/10229312,,,,,19,261,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-19,,,남자 무보형물 코수술 후기입니다!,https://cafe.naver.com/feko/10223097,,,,,3,244,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-19,,,신사역 아우어성형외과 무보형물코성형 매부리코 후기여,https://cafe.naver.com/feko/10222646,,,,,6,208,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-18,,,휜코 복코 때문에 받은 남자코수술 1달차입니다..!,https://cafe.naver.com/feko/10219367,,,,,0,91,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-18,,,아우어 성형외과 무보형물코수술 1달차 후기,https://cafe.naver.com/feko/10219306,,,,,2,218,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-17,,,코 낮은게 너무 싫어 이제야 코수술을 받은 후기,https://cafe.naver.com/feko/10214244,,,,,0,98,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-17,,,코끝단차 때문에 비개방재수술 받은 후기.. 단차는 이렇게 해결요...,https://cafe.naver.com/luxury009/1394315,,,,,5,122,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-17,,,아우어성형외과 남자코수술 후기요~,https://cafe.naver.com/feko/10214115,,,,,0,90,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-16,,,무보형물코재수술 신사 아우어성형외과 수술 2주차 후기,https://cafe.naver.com/feko/10209488,,,,,4,209,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-16,,,아우어성형외과 코끝단차 비개방재수술 상담후기,https://cafe.naver.com/feko/10209427,,,,,44,298,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-15,,,비개방 무보형물코성형 받고온 후기요,https://cafe.naver.com/feko/10204580,,,,,6,189,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-15,,,아우어성형외과 매부리코 무보형물코수술 1달차 후기!,https://cafe.naver.com/feko/10204517,,,,,0,118,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-12,,,아우어성형외과 무보형물코성형 후기 매부리코+코끝떨어짐,https://cafe.naver.com/feko/10197171,,,,,8,246,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-12,,,"몇 번의 코수술로 생긴 코끝단차, 연골비침 때문에 재수술 다시받은 후기",https://cafe.naver.com/luxury009/1390552,,,,,15,145,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-12,,,"자연, 최대 자려하게 복코수술 해달라고해서 받은 후기 미용코+기능코 같이 수술했어요",https://cafe.naver.com/feko/10196496,,,,,2,145,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-11,,,매부리코 무보형물로 코수술한지 9개월 단차나 코끝처짐은 없는거 같아요 너무 다행..,https://cafe.naver.com/luxury009/1389901,,,,,16,112,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-11,,,코끝단차와 연골비침 때문에 상담받은 코재수술 후기와 금액 공유해요,https://cafe.naver.com/feko/10193269,,,,,23,227,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-10,,,남자코 아우어성형외과 무보형코수술 기능코 같이 받았습니다,https://cafe.naver.com/feko/10188973,,,,,0,125,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-10,,,뭉툭한 복코 자연스럽게 무보형물로 수술받은 2주차 후기,https://cafe.naver.com/feko/10188957,,,,,8,136,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-09,,,매부리코+긴코 옆모습 실루엣 변신을 꿈꾸고 코수술받은 후기랄까나🥲,https://cafe.naver.com/feko/10184272,,,,,2,81,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-08,,,무보형물코수술 1달차 후기 아우어성형외과 매부리코 코끝처짐 전후,https://cafe.naver.com/feko/10179822,,,,,2,167,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-05,,,실리콘 압박감으로 제거 후 코끝단차 생겨서 단차재수술받았는데 잘 채워진거 같아요ㅜ,https://cafe.naver.com/luxury009/1386241,,,,,5,78,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-05,,,아우어 성형외과 이우연 원장님 복코수술 자려st 후기,https://cafe.naver.com/feko/10173421,,,,,0,191,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-05,,,✨실리콘 티가 너무 많이 나고 찝힌코 때문에 코재수술 받고 2주차네요,https://cafe.naver.com/feko/10173283,,,,,4,229,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-03,,,매부리코 + 코끝단차 재수술후기,https://cafe.naver.com/feko/10164721,,,,,0,115,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-03,,,낮은 복코 때문에 너무 스트레스라 해결하려고 코수술 받은 후기입니닷,https://cafe.naver.com/feko/10164691,,,,,0,134,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-02,,,복코 매부리코 둘다 있었고 무보형물코수술 받은지 6개월이 됐네요...,https://cafe.naver.com/luxury009/1383830,,,,,19,74,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-02,,,신사역 아우어성형외과 복코와 화살코 자연스럽게 코수술받은 후기요,https://cafe.naver.com/feko/10160056,,,,,2,152,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-01,,,매부리코 무보형물코성형 후기용,https://cafe.naver.com/feko/10155638,,,,,10,206,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-12-01,,,남자코수술 2주차입니다..!,https://cafe.naver.com/feko/10155465,,,,,6,134,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-28,,,,https://cafe.naver.com/feko/10148889,,,,,0,0,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-27,,,아우어성형외과 매부리코 무보형물코수술 2주차 후기!,https://cafe.naver.com/feko/10144804,,,,,3,232,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-27,,,복코를 얄쌍하게 만들고 싶어서 고민하던 코수술받은 후기😭,https://cafe.naver.com/feko/10144572,,,,,0,185,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-26,,,"복코 자려하게 코수술 받은 후기 ,, 미용코+기능코 같이했어요",https://cafe.naver.com/feko/10139964,,,,,6,191,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-25,,,매부리코에 코끝떨어짐도 심해 무보형물로 코수술 받았어요!!,https://cafe.naver.com/feko/10135167,,,,,2,141,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-24,,,무보형물 코수술 받고나서 단차가 심해졌는데 비개방으로 재수술은 가능하대요,https://cafe.naver.com/luxury009/1379018,,,,,14,152,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-24,,,아우어 성형외과 무보형물코수술 2주차 후기,https://cafe.naver.com/feko/10130700,,,,,16,281,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-21,,,"남자코, 눈수술 자연스럽게 받은 후기입니다",https://cafe.naver.com/feko/10124118,,,,,2,129,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-21,,,아우어 매부리코 무보형물코수술 2주차 후기 (+ 눈재수술),https://cafe.naver.com/feko/10123971,,,,,1,168,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-20,,,신사 아우어성형외과 매부리코수술 후기ㅜㅜ!,https://cafe.naver.com/feko/10119889,,,,,10,196,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-20,,,매부리도 심하고 길어보이는 코 무보형물로 수술받은지 9달차,https://cafe.naver.com/luxury009/1376939,,,,,8,76,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-20,,,코첫수술 망하고 짧은코는 여전해서 무보형물로 재수술 받았어요,https://cafe.naver.com/feko/10119782,,,,,4,147,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-19,,,,https://cafe.naver.com/feko/10115207,,,,,0,0,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-19,,,신사 아우어성형외과 자연스러운 코수술 후기,https://cafe.naver.com/feko/10115060,,,,,4,213,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-18,,,"무보형물코수술 후기 매부리코 해결스,,,",https://cafe.naver.com/feko/10110453,,,,,0,71,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-18,,,아우어성형외과 매부리코 무보형물코성형 후기요!,https://cafe.naver.com/feko/10110364,,,,,6,120,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-14,,,"신사 아우어성형외과 매부리코 재수술, 코끝단차 수술 상담후기",https://cafe.naver.com/feko/10099005,,,,,15,196,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-14,,,코끝단차 때문에 재수술 받았습니다,https://cafe.naver.com/luxury009/1373731,,,,,20,197,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-13,,,매부리 심했던 코 무보형물수술 콧대 깔끔해졌네용ㅎ,https://cafe.naver.com/feko/10095141,,,,,0,85,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-13,,,복코교정+콧볼축소 무보형물로 받은 후기,https://cafe.naver.com/feko/10095010,,,,,0,236,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-12,,,펑퍼짐해서 콤플렉스였던 복코 해결하고 왔어요...,https://cafe.naver.com/feko/10090274,,,,,3,149,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-12,,,자연자려st 무보형물코성형 상담후기,https://cafe.naver.com/feko/10090085,,,,,9,138,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-11,,,복코 무보형물로 수술받고 반년 지났네요,https://cafe.naver.com/luxury009/1371876,,,,,17,192,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-11,,,,https://cafe.naver.com/feko/10086137,,,,,0,0,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-11,,,아우어성형외과 매부리코 복코 무보형물코수술 후기!,https://cafe.naver.com/feko/10086044,,,,,2,295,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-10,,,심각한 뚱뚱한 복코에 콧볼까지 잘보이는 긴코 다시태어나서 대만족🥹,https://cafe.naver.com/feko/10081288,,,,,8,135,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-10,,,첫수에서 콧대만 생기고 코끝은 낮아서 코재수술 받은 후기,https://cafe.naver.com/feko/10081213,,,,,2,87,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-07,,,아우어성형외과 매부리코 복코 코끝처짐 무보형물코성형 상담후기,https://cafe.naver.com/feko/10073494,,,,,12,237,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-06,,,코끝단차 비개방재수술 아우어 상담후기요,https://cafe.naver.com/feko/10070677,,,,,14,156,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-06,,,매부리도 잘보이고 코끝 뭉뚝했던거 무보형물로 잘 된듯요..,https://cafe.naver.com/luxury009/1369330,,,,,4,65,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-11-03,,,코재수술 매부리+짧은코 2주차 후기!,https://cafe.naver.com/feko/10057756,,,,,2,108,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-31,,,매부리에 길게 처져있던 코때문에 무보형물코수술 받았어요..!,https://cafe.naver.com/feko/10051919,,,,,2,135,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-30,,,아우어성형외과 무보형물 남자코수술 후기 한달차입니다,https://cafe.naver.com/feko/10046261,,,,,0,102,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-29,,,,https://cafe.naver.com/feko/10044064,,,,,0,0,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-28,,,"남자코, 눈 수술 같이 받은지 2주 됐어요",https://cafe.naver.com/feko/10039785,,,,,2,94,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-28,,,코수술 후 코끝단차 생겼던거 비개방으로 재수술 받은지 2달차입니다,https://cafe.naver.com/luxury009/1364366,,,,,12,91,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-27,,,"신사 아우어성형외과 매부리코+화살코 무보형물 상담, 견적 공유!!!",https://cafe.naver.com/feko/10035628,,,,,16,156,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-27,,,굴곡진 매부리코 무보형물 코수술 후기요 !,https://cafe.naver.com/feko/10035522,,,,,4,103,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-23,,,코수술 2주차 콧볼 위로 커보이고 코끝 뚱뚱한 복코였던 코의 환골탈태...?,https://cafe.naver.com/feko/10024941,,,,,0,113,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-23,,,복코 직반라인 무보형물 코수술 7개월차,https://cafe.naver.com/luxury009/1361718,,,,,6,107,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-22,,,똥실했던 복코 아우어성형외과 무보형물코성형 + 콧볼축소 수술후기,https://cafe.naver.com/feko/10020629,,,,,0,218,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-22,,,코재수술 후기입니다ㅜㅜ,https://cafe.naver.com/feko/10020503,,,,,0,73,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-21,,,신사 아우어성형외과 코수술 2주 후기,https://cafe.naver.com/feko/10016071,,,,,0,107,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-21,,,코끝단차 심해져서 재수로 해결요,https://cafe.naver.com/luxury009/1360433,,,,,8,121,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-21,,,매부리코재수술ㅜㅜ 드디어 매부리 사라졌어요...,https://cafe.naver.com/feko/10015650,,,,,1,103,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-20,,,코수술 후 코끝단차 때문에 비개방 재수술 상담받은 후기,https://cafe.naver.com/feko/10011158,,,,,20,320,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-20,,,"(큰코, 메부리코, 복코, 긴코) 무보형물 코성형 후기ㅠㅠ 변신 대성공ㅠㅠ",https://cafe.naver.com/feko/10011054,,,,,9,220,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-17,,,매부리코 해결한 후기ㅜㅜ,https://cafe.naver.com/feko/10004753,,,,,4,226,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-17,,,자연스럽게 코수술 받은지 1달 됐어요 매부리코 복코 같이있는 코,https://cafe.naver.com/feko/10004622,,,,,0,152,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
2025-10-16,,,신사 아우어성형외과 휜코 코끝처짐 무보형물 상담후기,https://cafe.naver.com/feko/10000374,,,,,2,75,,,,아우어성형외과 (내부용) (https://www.notion.so/242286f326ff80c79111dba48f834a2d?pvs=21),,차예나 매니저
