날짜,,조회수,댓글,,게시글 URL,글 제목,,,,,,병원,작업자
2025-12-16,,11,4,,https://gnun.link/comm/3706324,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-12-16,,11,4,,https://gnun.link/comm/3706238,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-12-16,,,,,,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-12-15,,179,12,,https://cafe.naver.com/feko/10204416,가슴재수술 잘하는데 손품중,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-12-15,,144,6,,https://cafe.naver.com/feko/10204328,UU모양 자연스러운 느낌나게 수술하신 분들 어디서 하셨어요!,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-12-12,,20,5,,https://gnun.link/comm/3700403,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-12-12,,204,14,,https://cafe.naver.com/feko/10195924,가슴수술 병원 알아보고 있어요!!,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-12-10,,18,6,,https://gnun.link/comm/3695779,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-12-10,,167,18,,https://cafe.naver.com/feko/10188038,"가슴도 병원이 너무 많아서,, 병원과 원장님 추천해주세요",,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-12-10,,88,6,,https://cafe.naver.com/feko/10188466,병원 상담은 몇군데 정도 가보면 적당한가요!!,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-12-10,,10,2,,https://gnun.link/comm/3696409,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-12-09,,168,15,,https://cafe.naver.com/feko/10184278,가슴수술만 하는 원장님 유명한 분들 정보 조금만 더ㅜ,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-12-09,,15,4,,https://gnun.link/comm/3694503,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-12-09,,16,4,,https://gnun.link/comm/3693832,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-12-08,,13,4,,https://gnun.link/comm/3692048,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-12-05,,0,0,,https://cafe.naver.com/feko/10173739,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-12-04,,196,19,,https://cafe.naver.com/feko/10168343,자연가슴 느낌나게 UU모양으로 수술 잘하는곳 찾아요!,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-12-04,,7,2,,https://gnun.link/comm/3686289,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-12-03,,109,8,,https://cafe.naver.com/feko/10164843,내년 재수술 생각중이요 가슴재수술 정보 아시는분 부탁드려요,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-12-02,,133,11,,https://cafe.naver.com/feko/10158859,가슴수술 병원 알아보는데 보형물은 제가 하고싶은걸로 정해요?,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-12-02,,7,3,,https://gnun.link/comm/3682311,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-12-01,,9,4,,https://gnun.link/comm/3678811,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-12-01,,136,12,,https://cafe.naver.com/feko/10155282,상담 받아볼 가슴전문병원 1차는 완료 2차 손품중,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-11-28,,7,3,,https://gnun.link/comm/3675877,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-28,,5,2,,https://gnun.link/comm/3675212,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-28,,112,11,,https://cafe.naver.com/feko/10147065,14키로를 빼니 가슴이 없어져서 하고싶었던 가슴수술을 하려구해여,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-11-28,,4,1,,https://gnun.link/comm/3675241,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-28,,2,1,,https://gnun.link/comm/3675190,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-28,,4,2,,https://gnun.link/comm/3675323,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-28,,9,3,,https://gnun.link/comm/3675362,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-27,,153,18,,https://cafe.naver.com/feko/10142851,몸에 어울리게 자연스럽게 모양 내주는 가슴병원 손품 (밥그릇X),,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-11-27,,7,3,,https://gnun.link/comm/3674551,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-27,,8,4,,https://gnun.link/comm/3674599,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-26,,9,1,,https://gnun.link/comm/3671529,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-26,,9,6,,https://gnun.link/comm/3671100,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-26,,4,11,,https://gnun.link/comm/3670711,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-26,,13,6,,https://gnun.link/comm/3670797,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-26,,336,7,,https://cafe.naver.com/feko/10139973,자연스럽게 빵빵한 느낌으로 찐가슴처럼 커지는게 소원이요,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-11-26,,13,5,,https://gnun.link/comm/3670918,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-26,,122,14,,https://cafe.naver.com/feko/10137819,마지막적금도 만기! 가슴수술 어디서하셨어요!!!,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-11-25,,13,4,,https://gnun.link/comm/3668624,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-25,,2,5,,https://gnun.link/comm/3668665,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-25,,6,1,,https://gnun.link/comm/3669535,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-25,,5,1,,https://gnun.link/comm/3668726,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-25,,9,2,,https://gnun.link/comm/3668332,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-24,,11,4,,https://gnun.link/comm/3666627,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-24,,7,3,,https://gnun.link/comm/3666166,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-24,,131,18,,https://cafe.naver.com/feko/10129214,가슴수술하려고 병원 알아보고 있는데요🥹,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-11-24,,5,2,,https://gnun.link/comm/3666239,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-24,,16,6,,https://gnun.link/comm/3666942,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-20,,21,6,,https://gnun.link/comm/3660690,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-20,,17,5,,https://gnun.link/comm/3660971,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-20,,166,19,,https://cafe.naver.com/feko/10117876,가슴수술 결심🫢 병원 알아보기 시작,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-11-19,,7,1,,https://gnun.link/comm/3658787,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-19,,130,8,,https://cafe.naver.com/feko/10113532,가슴 재수술 받으신 분들,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-11-18,,18,7,,https://gnun.link/comm/3656377,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-17,,136,11,,https://cafe.naver.com/feko/10105548,다이어트 성공했더니 가슴이 실종됐어여...,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-11-13,,228,20,,https://cafe.naver.com/feko/10092301,밥그릇으로 나오는게 싫어서 최대한 실력 좋은 원장님 찾는데,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-11-12,,354,16,,https://cafe.naver.com/feko/10089049,마른몸도 찐가슴처럼 자연스럽게 빵빵해질 수 있을까요?,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-11-11,,16,6,,https://gnun.link/comm/3643095,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-11,,126,5,,https://cafe.naver.com/feko/10083040,비대칭이 너무 심해서 가슴재수술 하려는데요ㅜㅜ,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-11-10,,158,18,,https://cafe.naver.com/feko/10081331,다들 가슴 어디서 하셨는지…..^^,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-11-10,,14,4,,https://gnun.link/comm/3640259,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-07,,22,10,,https://gnun.link/comm/3637541,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-11-06,,140,9,,https://cafe.naver.com/feko/10070611,가슴만 전문으로 하는 병원 좀 알려주세요♥️,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-11-05,,7,2,,https://gnun.link/comm/3633658,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-31,,3,1,,https://gnun.link/comm/3624609,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-30,,93,2,,https://cafe.naver.com/feko/10047828,뽕브라 탈출을 위해ㅜㅜ! 다음주에 가슴수술해요!,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-10-30,,8,2,,https://gnun.link/comm/3622641,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-30,,16,4,,https://gnun.link/comm/3622814,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-30,,12,4,,https://gnun.link/comm/3623476,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-30,,3,1,,https://gnun.link/comm/3625380,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-30,,15,3,,https://gnun.link/comm/3623512,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-30,,6,2,,https://gnun.link/comm/3623366,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-29,,98,7,,https://cafe.naver.com/feko/10043321,가슴후기들 보는데 너무 부러워요,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-10-29,,75,4,,https://cafe.naver.com/feko/10043930,가슴 네군데정도 상담 가보려고 하는데요!,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-10-28,,9,1,,https://gnun.link/comm/3617742,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-28,,161,25,,https://cafe.naver.com/feko/10037695,가슴 병원 알아보고 있어요,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-10-28,,16,4,,https://gnun.link/comm/3617422,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-28,,7,1,,https://gnun.link/comm/3618180,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-27,,101,3,,https://cafe.naver.com/feko/10034604,이번주부터 담주까지 내내 가슴 상담 받으러 다니려고요!,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-10-27,,15,9,,https://gnun.link/comm/3615366,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-27,,148,27,,https://cafe.naver.com/feko/10033508,과한거 없이 자연스럽게 잘하는 병원으로 찾아봐요,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),차예나 매니저
2025-10-27,,20,9,,https://gnun.link/comm/3615413,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-27,,6,1,,https://gnun.link/comm/3614905,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-24,,8,3,,https://gnun.link/comm/3611758,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
2025-10-24,,8,3,,https://gnun.link/comm/3613193,,,,,,,윈느성형외과 (내부용) (https://www.notion.so/2ca286f326ff8024a64ef0dc1e189d2b?pvs=21),오노 아키코 매니저
