날짜,,게시글 URL,,,,,댓글,조회수,글 제목,NEW 댓글,,,병원,작업자
2026-01-16,,https://sungyesa.com/hlist/337586,,,,,,,병원찾아삼만리 리뷰,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-16,,https://sungyesa.com/b01/1220436,,,,,,,남자 코성형 후기입니다 다른사람이 됐어요,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-16,,,,,,,,,,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),
2026-01-16,,https://cafe.naver.com/feko/10308449,,,,,9,205,히트에서 넓디넓은 이마 줄인지 두달차에용😆,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2026-01-15,,https://sungyesa.com/d03/722417,,,,,,,[트임] 부분절개+눈교+듀얼트임+내시경이마거상 한달 후기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-15,,https://cafe.naver.com/feko/10304679,,,,,4,155,히트 유원장님 눈재수술 이렇게 잘해준다고..?,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2026-01-14,,https://sungyesa.com/d04/321120,,,,,,,뭔짓을 해도 안빠지던 얼굴살 때문에 미치겠어서 얼굴지방흡입 받고온 후기야,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-14,,https://cafe.naver.com/feko/10300417,,,,,1,38,히트에서 쌍트 받은지 5일차!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),한혜빈 매니저
2026-01-14,,https://cafe.naver.com/feko/10300130,,,,,17,122,강남 히트성형외과 2센치 이마축소 상담후기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2026-01-14,,https://cafe.naver.com/feko/10299921,,,,,2,138,남자친구 코수술 진짜 잘된거같죠...?,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-13,,https://sungyesa.com/b01/1219786,,,,,,,"코수술하고 한달차인데 아직도 옆라인 달라진건 실화인가 싶어,,,,,,,,,,,,",No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-13,,https://cafe.naver.com/feko/10296610,,,,,3,63,히트성형외과 내시경이마거상 대표원장 상담후기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-13,,https://cafe.naver.com/feko/10295169,,,,,2,96,히트성형외과 자가늑 코수술 상담+수술후기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-13,,https://cafe.naver.com/feko/10294547,,,,,1,24,히트에서 쌍트 받기로 결정했어요!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),한혜빈 매니저
2026-01-12,,https://cafe.naver.com/feko/10290800,,,,,7,178,히트에서 이마거상+쌍트 수술 받고 훨씬 자연스러워졌어요,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2026-01-12,,https://cafe.naver.com/feko/10290279,,,,,2,31,얼지흡 상담 완료!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2026-01-09,,https://sungyesa.com/d03/721286,,,,,,,눈재수술 하고나니 어울리게 쌍수해야하는 중요함을 알았음ㅎㅋ,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-09,,https://cafe.naver.com/feko/10283656,,,,,13,168,얼굴살 많으면 얼지흡 강추강추!!!!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2026-01-08,,https://cafe.naver.com/feko/10280420,,,,,3,67,내일 히트 유상수원장님한테 쌍트 받으러 가요...!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2026-01-08,,https://cafe.naver.com/feko/10278442,,,,,6,113,왜 이제서야 했을까 싶은... 낮고 뭉툭한코 자려하게 수술한 1개월차 후기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-07,,https://sungyesa.com/d04/320651,,,,,,,이마거상(추미근절제)+이마축소(골막고정) 후기야..ㅎ,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-07,,https://cafe.naver.com/feko/10275741,,,,,7,83,강남 히트 성형외과 내시경이마거상 실고정 상담 후기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-07,,https://cafe.naver.com/feko/10274738,,,,,12,155,미운눈매 히트에서 재수술받고 이미지 변신했어요ㅎㅎ,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2026-01-06,,https://cafe.naver.com/feko/10272237,,,,,11,151,내시경이마거상 히트 성형외과 3주차 후기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-06,,https://cafe.naver.com/feko/10271675,,,,,3,49,눈재수술 히트 유상수원장님으로 결정!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2026-01-06,,https://cafe.naver.com/feko/10269604,,,,,18,328,히트성형외과에서 이마축소+이마거상 하고 동안되기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2026-01-05,,https://sungyesa.com/b01/1218385,,,,,,,코가 전체적인 얼굴라인? 선? 바뀌는건 진짜인거 같아,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-05,,https://cafe.naver.com/feko/10267430,,,,,13,45,얼지흡+근육묶기 히트에서 받기로 했어요!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2026-01-05,,https://cafe.naver.com/feko/10266185,,,,,16,179,코끝모양 때문에 히트성형외과에서 코수술 받은 후기에요,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-02,,https://sungyesa.com/b01/1217994,,,,,,,코수술 받은거 후기 이제 거의 내코느낌? 자리잡은듯,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-02,,https://cafe.naver.com/feko/10260462,,,,,10,218,"히트 성형외과 한상철 대표원장님 코수술 후기입니다,,🫠",No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2026-01-02,,https://cafe.naver.com/feko/10259218,,,,,9,55,꼬막눈 히트에서 탈출하는걸로 정했어요!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-31,,https://cafe.naver.com/feko/10254964,,,,,20,175,히트 최주헌원장님 얼지흡 너무 잘하잖아ㅠㅠ,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-31,,https://cafe.naver.com/feko/10254948,,,,,2,139,히트성형외과 이마축소 상담 했어용,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-30,,https://sungyesa.com/d04/320254,,,,,,,흉터없이 이마축소한 후기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-30,,https://cafe.naver.com/feko/10252408,,,,,9,48,얼지흡이랑 근육묶기 같이 받기로 정했어요~!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-30,,https://cafe.naver.com/feko/10250552,,,,,2,81,제 인생 첫 쌍수 완료 했어요옹~!ㅎㅎ,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-30,,https://cafe.naver.com/feko/10249912,,,,,13,262,흉터 없이 이마축소한 후기ㅎㅎㅎ,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-29,,https://sungyesa.com/b01/1217441,,,,,,,자려느낌 코수술 원하는 예사?,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-29,,https://sungyesa.com/d04/320213,,,,,,,얼지흡 실리프팅 후기 턱라인 고민중이라면..,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-29,,https://cafe.naver.com/feko/10246916,,,,,5,101,내시경이마거상 수술 1달차 후기요,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-29,,https://cafe.naver.com/feko/10246752,,,,,22,264,히트성형외과 한상철원장님 코수술 붓기와 전후 코라인 후기용,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-29,,https://cafe.naver.com/feko/10245605,,,,,2,65,둥근 헤어라인으로 이마축소 수술,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-26,,https://cafe.naver.com/feko/10240636,,,,,7,180,히트에서 얼지흡 수술받고 너무 만족해요!!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-24,,https://sungyesa.com/b01/1216856,,,,,,,실리콘 + 자가늑 코수술 후기 올려본다,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-24,,https://sungyesa.com/b01/1216840,,,,,,,느좋 코수술 후기 매끈매끈,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-24,,https://sungyesa.com/b01/1215964,,,,,,,코 첫수에 자가늑 썼다가..,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-24,,https://cafe.naver.com/feko/10235999,,,,,8,377,신논현 히트 성형외과 자가늑 코수술 후기입니다!!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-23,,https://sungyesa.com/d04/320001,,,,,,,이마축소 회복과정 한달차 공유합니당,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-23,,https://cafe.naver.com/feko/10232371,,,,,8,289,이마축소 회복과정 한달차 사진!!!!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-22,,https://cafe.naver.com/feko/10226412,,,,,4,197,히트 안면거상. 얼지흡. 하안검재수술까지 중년성형도 결국 원장님 경력이 중요한것같아요,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-19,,https://sungyesa.com/d04/319843,,,,,,,히트 김정호원장님한테 2cm이마축소 받았어요,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-19,,https://cafe.naver.com/feko/10222153,,,,,11,138,히트성형외과 대표원장님 코수술 2주차-1달차 경과랑 후기!!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-18,,https://cafe.naver.com/feko/10218046,,,,,16,203,강남 히트성형외과 이마축소 김정호원장님 상담후기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),"박민정 매니저,박민정 매니저"
2025-12-18,,https://sungyesa.com/d04/319795,,,,,,,이마축소 한달 후기!!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-18,,https://cafe.naver.com/feko/10218218,,,,,6,137,자연유착이랑 트임 히트에서 수술받았어요!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-18,,https://cafe.naver.com/feko/10216776,,,,,14,176,얼지흡+실리프팅 후기입니다!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-17,,https://sungyesa.com/b01/1215964,,,,,,,코 첫수에 자가늑 썼다가..,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-17,,https://cafe.naver.com/feko/10211200,,,,,14,265,이마축소 후기 올립니다!!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-16,,https://cafe.naver.com/feko/10208169,,,,,4,99,히트에서 이마축소 받은지 세달 지났어요!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),"박민정 매니저,박민정 매니저"
2025-12-16,,https://cafe.naver.com/feko/10209185,,,,,2,110,내시경이마거상 히트성형외과 대표원장님 상담후기요..!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-16,,https://cafe.naver.com/feko/10208957,,,,,8,143,중년거상 히트성형외과에서 안면거상 이마거상 눈수술받은거에요!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-16,,https://cafe.naver.com/feko/10207947,,,,,4,59,쌍트 고민하다 히트에서 하기루 정했어요!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-15,,https://cafe.naver.com/feko/10204193,,,,,4,79,강남역 히트성형외과 안면거상 상담후기 (박정열원장님),No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-15,,https://cafe.naver.com/feko/10085711,,,,,26,237,"강남 히트성형외과 내시경이마거상 상담, 금액 후기",No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-15,,https://cafe.naver.com/feko/10203653,,,,,6,78,얼굴살 많으면 얼지흡 추천추천!!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-15,,https://cafe.naver.com/feko/10202684,,,,,14,222,복코 자려한 직반라인으로 수술하고 원하는 코모양 겟♥️ 코수술후기요,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-12,,https://sungyesa.com/d03/717586,,,,,,,"[쌍꺼풀절개] 히트에서 매몰, 눈교, 앞윗트 수술함",No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-12,,https://cafe.naver.com/feko/10195480,,,,,4,249,저 쌍트 너무 잘됐다 생각하는데 어떤 것 같아요?,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-12,,https://cafe.naver.com/feko/10195131,,,,,2,64,히트에서 얼지흡 받은지 4일차에요!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-11,,https://cafe.naver.com/feko/10191702,,,,,18,309,이마축소 한달됐어요 봐주세요ㅎㅎ,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-10,,https://cafe.naver.com/feko/10188088,,,,,12,193,생각나서 적어보는 이마축소 5개월차,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-10,,https://cafe.naver.com/feko/10188067,,,,,8,150,이마축소 한달차 후기입니다!!!!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-10,,https://cafe.naver.com/feko/10188183,,,,,4,61,뭐든 상담받는게 정확하네요. 저 쌍트 병원 결정했어요!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-10,,https://cafe.naver.com/feko/10187074,,,,,7,139,히트 얼지흡 얼굴라인까지 생각해서 수술해줘요!👍,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-09,,https://cafe.naver.com/feko/10183859,,,,,4,57,수능이벤트로 히트에서 쌍수 받는걸로 예약 잡았어요❤️,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-09,,https://cafe.naver.com/feko/10181826,,,,,2,173,강남 히트성형외과 안면거상 중년눈수술 후기 효과 좋긴한거같아요...ㅋㅋ,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-08,,https://cafe.naver.com/feko/10179624,,,,,30,177,히트성형외과 중년 안면목거상 원장님+금액+상담후기요!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-08,,https://cafe.naver.com/feko/10179588,,,,,4,163,내시경이마거상 본터널링 실고정 1주일차후기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-08,,https://cafe.naver.com/feko/10179466,,,,,10,227,복코수술 자연스럽게 한지 한달차용!!!!!!!! 복코 전후입니당!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-08,,https://cafe.naver.com/feko/10179369,,,,,16,273,히트성형외과 이마축소 상담 다녀왔어요!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),박민정 매니저
2025-12-08,,https://cafe.naver.com/feko/10179011,,,,,4,38,내일 히트에서 얼지흡 받아용...!!!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-08,,https://cafe.naver.com/feko/10178819,,,,,2,56,소세지눈 재수술 히트에서 받고왔어요,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-05,,https://cafe.naver.com/feko/10173222,,,,,10,65,히트에서 얼지흡 받고왔어요~!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-05,,https://cafe.naver.com/feko/10173014,,,,,10,299,강남 히트 성형외과 낮고 코끝처짐 심했던 복코수술 2주차 후기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-04,,https://cafe.naver.com/feko/10169317,,,,,26,465,히트성형외과 안면거상 이마거상 상담 후기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-04,,https://cafe.naver.com/feko/10168233,,,,,3,56,내일 히트에서 소세지눈 수술 받아요!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-04,,https://cafe.naver.com/feko/10167816,,,,,20,275,히트성형외과 김정호원장님께 이마축소수술 받은 후기!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-03,,https://cafe.naver.com/feko/10164478,,,,,14,147,내시경이마거상 히트 한상철 대표원장님 상담후기,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-03,,https://cafe.naver.com/feko/10164427,,,,,2,144,낮은 매부리코 자연스러운 직반라인 코수술 정보 후기 낋여왔어요,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-02,,https://cafe.naver.com/feko/10159158,,,,,8,102,히트성형외과 중년 안면거상 상담후기~ 박정열원장님,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-12-02,,https://cafe.naver.com/feko/10158521,,,,,5,153,남자 얼지흡 후기입니다!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-12-01,,https://cafe.naver.com/feko/10154193,,,,,8,294,히트성형외과 중년거상 후기요 안면거상+이마거상 등,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-11-28,,https://cafe.naver.com/feko/10148327,,,,,1,159,"히트성형외과 윤곽수술 후 처짐 안면거상 상담 후기 남겨요 (미니거상, 안면거상)",No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-11-28,,https://cafe.naver.com/feko/10146985,,,,,2,150,강남 히트성형외과 한상철 원장님 남자 복코수술 한달차,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-11-27,,https://cafe.naver.com/feko/10143319,,,,,19,404,히트성형외과 김정호원장님 2cm 이마축소 후기입니다,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-11-26,,https://cafe.naver.com/feko/10137075,,,,,4,113,리투오 받으니까 화장 엄청 잘먹어요,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-11-25,,https://cafe.naver.com/feko/10134657,,,,,8,219,신논현 히트 성형외과 내시경 이마거상 한상철 원장님 상담후기+수술견적,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-11-25,,https://cafe.naver.com/feko/10133524,,,,,4,73,자연유착 회복 빨라서 좋아요ㅎㅎ,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-11-25,,https://cafe.naver.com/feko/10132869,,,,,40,261,얼지흡 받았는데 없던 턱선 생긴거 실화…?,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-11-24,,https://cafe.naver.com/feko/10129615,,,,,10,187,히트 쌍수 예약 잡아놨는데 시간 너무 안가요😯,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),김채운 매니저
2025-11-24,,https://cafe.naver.com/feko/10128816,,,,,14,320,신논현 히트성형외과 박정열원장님 코수술 두달차 후기!,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),차예나 매니저
2025-11-21,,https://sungyesa.com/b01/1212469,,,,,3,217, 코수술 하고 복코 교정 너무 잘됐어요😭,No,,,히트성형외과 (내부용) (https://www.notion.so/223286f326ff800c91bdfddc58cd46d2?pvs=21),문나래 매니저
