날짜,글 제목,게시글 URL,,,댓글,조회수,,,,병원,,,작업자
2025-12-18,지방추출주사 팔뚝 라인이 조금씩 달라지는 것 같아요,https://cafe.naver.com/feko/10217702,,,1,31,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-12-18,12월18일 업로드,https://abr.ge/gwxe41,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-18,12월17일 업로드,https://abr.ge/mzhilv,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-18,12월17일 업로드,https://abr.ge/c6kxs8,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-18,12월17일 업로드,https://abr.ge/bs2vq3n,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-17,복부 지팻 지방추출 시술 후기,https://cafe.naver.com/feko/10213994,,,6,130,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-17,승마살 정리하니까 다리 라인이 달라 보이네요,https://cafe.naver.com/newsmaker/1081816,,,4,32,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-12-17,,,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-12-17,,,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-12-17,,,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-12-17,,,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-12-16,팔뚝 허벅지 지방추출주사 지팻 한달 된 후기,https://cafe.naver.com/feko/10209237,,,2,147,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-16,12월12일 업로드,https://abr.ge/8h4xx6,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-16,12월12일 업로드,https://abr.ge/vmxdisf,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-16,12월12일 업로드,https://abr.ge/egt92o,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-16,12월15일 업로드,https://abr.ge/1i2euj,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-16,12월15일 업로드,https://abr.ge/uzad6n,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-16,12월14일 업로드,https://abr.ge/e6n7dau,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-16,12월14일 업로드,https://abr.ge/tzmhzg,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-16,12월14일 업로드,https://abr.ge/uxabn8,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-16,12월11일 업로드,https://abr.ge/5tvthmy,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-16,12월11알 업로드,https://abr.ge/ldwozh,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-16,12월10일 업로드 ,https://abr.ge/fpfzywq,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-16,12월9일 업로드,https://abr.ge/777v8a,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-15,복부 지방추출주사 이벤트때문에 친구랑 절교할 뻔 했어요,https://cafe.naver.com/feko/10204521,,,8,88,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-15,흘러내리는 뱃살 때문에 지팻 상담 받고 왔어요,https://cafe.naver.com/feko/10203797,,,2,45,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-12-15,지힐링스퀘어 복부 지방추출주사 두달 차 지팻 후기,https://cafe.naver.com/feko/10203239,,,12,224,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-15,,https://abr.ge/rlwnvv,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,오노 아키코 매니저
2025-12-11,,,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,"홍채이,홍채이"
2025-12-11,,,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,"홍채이,홍채이"
2025-12-11,,,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,"홍채이,홍채이"
2025-12-11,복부 지방추출주사 지팻 한달차 후기,https://cafe.naver.com/feko/10192794,,,4,156,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-10,지힐링스퀘어 지방추출주사 지팻 상담 후기,https://cafe.naver.com/feko/10188915,,,0,495,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-10,,https://cafe.naver.com/feko/10188356,,,0,0,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-12-10,,https://cafe.naver.com/feko/10188096,,,0,0,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-12-10,승마살 지팻 받으면서 느껴지는 변화 (2달차),https://cafe.naver.com/feko/10186268,,,1,46,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-12-05,지힐링스퀘어 등+브라라인 지방추출 지팻 6주차 후기,https://cafe.naver.com/feko/10173573,,,9,349,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-05,지방추출주사 4주차 입성했어요,https://cafe.naver.com/feko/10173030,,,2,52,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-12-05,"멍은 많이 줄어들었는데 붓기,통증은 남아 있는 지팻 2주차",https://cafe.naver.com/feko/10173161,,,3,48,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-12-04,,https://cafe.naver.com/feko/10168701,,,0,0,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-12-04,지방추출 하고 왔어요 저 지금 마동석 같아요ㅋㅋ,https://cafe.naver.com/feko/10167728,,,1,40,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-12-04,바지핏을 위해 해본 지방추출주사,https://cafe.naver.com/feko/10167931,,,4,54,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-12-04,팔뚝 지방추출주사 받고 뼈팔됨!,https://cafe.naver.com/feko/10166726,,,14,121,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,조숙현 팀장
2025-12-03,지방추출주사 상담 완료요 ㅋㅋ,https://cafe.naver.com/feko/10163568,,,2,31,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-12-02,안 빠지는 살 추출주사 도움 받았더니 싹 빠졌네요,https://cafe.naver.com/newsmaker/1080104,,,0,16,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-12-01,,https://cafe.naver.com/feko/10154835,,,0,0,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-12-01,종아리는 얇은데 허벅지만 굵었던 체형 허벅지 지출주 2달차 변화 공유해요,https://cafe.naver.com/feko/10153453,,,1,65,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-11-28,,https://abr.ge/azg1k92,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-28,,https://abr.ge/0c49pd,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-28,,https://abr.ge/xxk59o,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-28,,https://abr.ge/zsjlvj,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-28,,,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,
2025-11-28,,https://cafe.naver.com/feko/10148271,,,0,0,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-11-28,팔뚝에서 부유방까지 지방추출주사 한 달 차,https://cafe.naver.com/feko/10148386,,,1,48,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-11-27,약이나 주사대신 지방추출로 하려고요,https://cafe.naver.com/feko/10144081,,,2,37,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-11-27,,https://cafe.naver.com/feko/10144003,,,0,0,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-11-27,,https://abr.ge/z8mzyx9,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-27,,https://abr.ge/eyutp8,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-27,,https://abr.ge/nl16ed,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-27,,https://abr.ge/jfjyom1,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-26,,https://gnun.link/comm/3669271,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-26,,https://web.babitalk.com/ask-memos/64869,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-26,,,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-26,,https://web.babitalk.com/ask-memos/64865,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-26,,https://gnun.link/comm/3672050,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-26,승마살 해결 위해 지방추출 상담 완!,https://cafe.naver.com/feko/10139391,,,1,29,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-11-26,,https://cafe.naver.com/feko/10139056,,,0,0,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-25,,https://gnun.link/comm/3669730,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-25,,https://gnun.link/comm/3669707,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-25,,https://abr.ge/yfh14h,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-25,두꺼운 팔뚝 탈출을 위해 지팻 받은지 두달차,https://cafe.naver.com/feko/10134493,,,2,65,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,김예지 매니저
2025-11-25,,https://cafe.naver.com/feko/10133968,,,0,0,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-24,,https://abr.ge/ei4zgo,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-24,,https://abr.ge/vsz1o3,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-24,,https://abr.ge/kpp64a,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-24,,https://abr.ge/c24tja,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-24,,https://web.babitalk.com/ask-memos/64714,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-24,,,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-21,지방추출주사 상담 받으니까 훨씬 더 잘 알겠네요,https://cafe.naver.com/feko/10124107,,,1,60,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,문나래 매니저
2025-11-21,,,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-21,,https://web.babitalk.com/ask-memos/64607,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
2025-11-21,,https://web.babitalk.com/ask-memos/64606,,,,,,,,지힐링스퀘어 (내부용)  (https://www.notion.so/242286f326ff800a8a51e553f0e31e36?pvs=21),,,홍채이
