날짜,글 제목,게시글 URL,조회수,댓글,쪽지 수량,작업자
2025-10-30,정신 없을까봐 걱정 했는데ㅋㅋ,https://cafe.naver.com/hig2/581567,11,2,,김예지 매니저
2025-10-30,조리원 알아볼 때 특별히 고려해야 하는게 있을까요?,https://cafe.naver.com/geahwa73/656163,41,8,,김예지 매니저
2025-10-31,,https://cafe.naver.com/geahwa73/656289,0,0,,김예지 매니저
2025-10-31,봄빛병원 초음파 사진 요청하면 추가로 더 주시나요?,https://cafe.naver.com/imsanbu/77153557,121,1,,김예지 매니저
2025-10-31,조리원 출산연계? 사설?,https://cafe.naver.com/hig2/581616,22,4,,김예지 매니저
2025-11-03,임신 언제 주변에 알리셨어요??,https://cafe.naver.com/geahwa73/656451,62,5,,김예지 매니저
2025-11-03,봄빛 병원 쌍둥이 선생님 추천 부탁드려요,https://cafe.naver.com/imsanbu/77180418,139,3,,김예지 매니저
2025-11-04,봄빛 산전관리 받아본 맘님 계세요?,https://cafe.naver.com/imsanbu/77192532,80,6,,김예지 매니저
2025-11-04,입체 초음파 미리 예약했어요,https://cafe.naver.com/imsanbu/77192299,60,2,,김예지 매니저
2025-11-04,출산이 얼마 안남았어요,https://cafe.naver.com/geahwa73/656539,27,10,,김예지 매니저
2025-11-05,봄빛 쌍둥이 진료 보시는 선생님,https://cafe.naver.com/geahwa73/656633,40,4,,김예지 매니저
2025-11-05,이제 가족들한테 알려도 될까요?,https://cafe.naver.com/hig2/581711,17,2,,김예지 매니저
2025-11-05,,https://cafe.naver.com/imsanbu/77203648,0,0,,김예지 매니저
2025-11-06,쌍둥이라 큰 병원 가야 할것 같아요,https://cafe.naver.com/hig2/581749,16,3,,김예지 매니저
2025-11-06,가재 손수건은 얼마나 사야 하나요?,https://cafe.naver.com/geahwa73/656730,32,8,,김예지 매니저
2025-11-07,입덧 끝나니까 자꾸 빵이 땡겨요ㅠ 다들 간식 뭐 드시나요?,https://cafe.naver.com/imsanbu/77224645,127,2,,김예지 매니저
2025-11-07,태동 일찍 느끼신 분 계세요??,https://cafe.naver.com/geahwa73/656796,36,5,,김예지 매니저
2025-11-10,임신하고 체중이 많이 늘었어요,https://cafe.naver.com/imsanbu/77252724,63,0,,김예지 매니저
2025-11-10,예약한 산후조리원에서 마사지 받고 왔어요,https://cafe.naver.com/chch6534/1242681,22,2,,김예지 매니저
2025-11-11,다다음주에 입체 초음파 찍으려고요,https://cafe.naver.com/geahwa73/657075,22,5,,김예지 매니저
2025-11-11,둘째 임신 중 첫째와 어떻게 놀아주시나요?,https://cafe.naver.com/imsanbu/77264229,414,6,,김예지 매니저
2025-11-12,분비물에 피가 섞여 나와요,https://cafe.naver.com/imsanbu/77275120,337,1,,김예지 매니저
2025-11-12,먹덧은 덜 힘들줄 알았는데 이것도 힘드네요ㅎㅎ,https://cafe.naver.com/chch6534/1243309,16,0,,김예지 매니저
2025-11-12,둘째 임신은 수월할 줄 알았는데..ㅎㅎㅎ,https://cafe.naver.com/geahwa73/657167,27,4,,김예지 매니저
2025-11-14,지금은 먹덧 때문에 힘들어요ㅎㅎㅎㅎ,https://cafe.naver.com/geahwa73/657387,26,4,,김예지 매니저
2025-11-17,배가 나오기 시작한 것 같아요,https://cafe.naver.com/imsanbu/77321783,38,0,,김예지 매니저
2025-11-18,아기가 이번엔 얼굴을 정면으로 보여줬어요,https://cafe.naver.com/geahwa73/657649,28,6,,김예지 매니저
2025-11-18,이제 임신부 티가 나는것 같아요,https://cafe.naver.com/hig2/582046,9,1,,김예지 매니저
2025-11-18,부분전치태반인데 출혈이 있어서 급하게 병원 다녀왔어요ㅠ,https://cafe.naver.com/imsanbu/77333141,261,1,,김예지 매니저
2025-11-19,이슈가 있어서 급하게 봄빛병원 진료 받고 왔어요,https://cafe.naver.com/hig2/582064,5,0,,김예지 매니저
2025-11-20,딸인거 알고 난 뒤로 남편이 자꾸 옷을 사와요ㅎㅎ,https://cafe.naver.com/hig2/582114,9,3,,김예지 매니저
2025-11-20,배가 나오기 시작하니까 훅 불러오네요,https://cafe.naver.com/imsanbu/77354645,49,0,,김예지 매니저
2025-11-21,배가 한번씩 뭉칠 때가 있거든요,https://cafe.naver.com/geahwa73/657934,28,4,,김예지 매니저
2025-11-21,20주 정밀 초음파 보고 왔어요,https://cafe.naver.com/imsanbu/77365006,608,1,,김예지 매니저
2025-11-21,,https://cafe.naver.com/hig2/582146,0,0,,김예지 매니저
2025-11-24,이제 주변에도 임신 사실 알리고 있어요,https://cafe.naver.com/hig2/582184,7,1,,김예지 매니저
2025-11-24,조리원 고민하다가 결정했어요,https://cafe.naver.com/geahwa73/658152,29,3,,김예지 매니저
2025-11-24,대병 차트 없이 둥이 진료 받고 있어요,https://cafe.naver.com/imsanbu/77393152,105,1,,김예지 매니저
2025-11-25,산전 마사지 받고 왔어요,https://cafe.naver.com/hig2/582230,10,2,,김예지 매니저
2025-11-25,시험관으로 아이 가져서 이제서야 주변에 이야기 하고 있거든요,https://cafe.naver.com/geahwa73/658271,42,5,,김예지 매니저
2025-11-25,안정기 돌입 입덧도 많이 좋아졌어요,https://cafe.naver.com/imsanbu/77404456,30,2,,김예지 매니저
2025-11-26,종아리 뭉쳐서 산전 마사지 받고 왔거든요,https://cafe.naver.com/geahwa73/658380,30,3,,김예지 매니저
2025-11-26,전 이제서야 주변에 임신 소식 알리고 있어요,https://cafe.naver.com/imsanbu/77415882,639,4,,김예지 매니저
2025-11-26,이젠 음식 냄새 맡아도 괜찮아요,https://cafe.naver.com/hig2/582269,11,3,,김예지 매니저
2025-11-27,안정기오면 괜찮아질까 했는데 항상 안절부절,https://cafe.naver.com/hig2/582295,10,1,,김예지 매니저
2025-11-27,30주가 다가오니 점점 출산 고민을 시작하게 되네요,https://cafe.naver.com/imsanbu/77427001,457,4,,김예지 매니저
2025-11-27,출산하는 병원에 소아과 선생님 계시는거 중요하죠?,https://cafe.naver.com/imsanbu/77426954,132,3,,김예지 매니저
2025-11-28,쌍둥이라 대병 차트를 만들어둘까 하는데,https://cafe.naver.com/hig2/582324,8,0,,김예지 매니저
2025-11-28,출산병원 정할 때 궁금한 점이요,https://cafe.naver.com/geahwa73/658559,44,5,,김예지 매니저
2025-11-28,쌍둥이라 배가 정말 많이 나오네요,https://cafe.naver.com/allgirl/439501,18,3,,김예지 매니저
2025-12-01,중요한 검진 앞두면 항상 긴장이 돼요,https://cafe.naver.com/imsanbu/77462556,233,3,,김예지 매니저
2025-12-01,이미 살이 텄어도 꾸준히 발라줘야겠죠?,https://cafe.naver.com/hig2/582369,10,1,,김예지 매니저
2025-12-01,출산방법은 언제쯤 정해요?,https://cafe.naver.com/geahwa73/658762,19,4,,김예지 매니저
2025-12-02,배가 한번씩 뭉쳐서 진료 받고 왔어요,https://cafe.naver.com/imsanbu/77473074,239,0,,김예지 매니저
2025-12-02,대학병원 진료는 한번쯤 받아야 하는지 고민이네요,https://cafe.naver.com/geahwa73/658889,32,2,,김예지 매니저
2025-12-02,출산병원 어떻게 정하는게 좋을까요?,https://cafe.naver.com/hig2/582408,30,5,,김예지 매니저
2025-12-03,급하게 산부인과 다녀오길 잘한것 같아요,https://cafe.naver.com/hig2/582462,16,2,,김예지 매니저
2025-12-04,이제 출산용품 슬슬 준비해야겠죠?,https://cafe.naver.com/imsanbu/77494206,545,6,,김예지 매니저
2025-12-04,입체초음파 진짜 신기하네요ㅎㅎ,https://cafe.naver.com/imsanbu/77494122,67,0,,김예지 매니저
2025-12-04,,https://cafe.naver.com/imsanbu/77494027,0,0,,김예지 매니저
2025-12-05,아기 물건 이제 준비해야겠어요><,https://cafe.naver.com/hig2/582528,8,0,,김예지 매니저
2025-12-05,입덧이 줄어들길 기다리고 있는데...,https://cafe.naver.com/geahwa73/659209,17,4,,김예지 매니저
2025-12-08,임신 전보다 +4kgㅠㅠㅠ,https://cafe.naver.com/geahwa73/659407,19,3,,김예지 매니저
2025-12-08,20주 되니까 태동이 확실하네요,https://cafe.naver.com/imsanbu/77527821,485,5,,김예지 매니저
2025-12-08,입덧이 정말 힘든거네요ㅠㅠ,https://cafe.naver.com/hig2/582561,10,2,,김예지 매니저
2025-12-10,봄빛병원 선생님 추천 부탁드려요,https://cafe.naver.com/imsanbu/77549162,257,5,,김예지 매니저
2025-12-10,봄빛 병원 다니시는 분들께 궁금한 점,https://cafe.naver.com/geahwa73/659662,55,6,,김예지 매니저
2025-12-11,태교 특별히 하시는거 있나요?,https://cafe.naver.com/imsanbu/77559507,674,12,,김예지 매니저
2025-12-11,2차 기형아 검사까지 하니까,https://cafe.naver.com/geahwa73/659766,23,4,,김예지 매니저
2025-12-11,시흥에 분만병원이 없어서요,https://cafe.naver.com/hig2/582684,9,3,,김예지 매니저
2025-12-12,태교는 엄마가 좋아하는걸 하는게 맞나요?,https://cafe.naver.com/geahwa73/659831,19,5,,김예지 매니저
2025-12-15,태동이 확실해졌어요 신기해요ㅋㅋ,https://cafe.naver.com/geahwa73/660060,14,5,,김예지 매니저
2025-12-15,이제 이 방도 졸업을 앞두고 있네요,https://cafe.naver.com/imsanbu/77595439,205,2,,김예지 매니저
2025-12-15,이제부터 태교 신경써볼려고요,https://cafe.naver.com/hig2/582763,10,3,,김예지 매니저
2025-12-16,1차 기형아 검사 보고 왔어요,https://cafe.naver.com/imsanbu/77606583,96,1,,김예지 매니저
2025-12-16,,https://cafe.naver.com/hig2/582789,0,0,,김예지 매니저
2025-12-16,30주 넘어가니까 출산이 확 다가온 느낌이에요,https://cafe.naver.com/geahwa73/660171,15,5,,김예지 매니저
2025-12-17,점점 아기 만날 날이 가까워 오고 있어요,https://cafe.naver.com/hig2/582823,7,2,,김예지 매니저
2025-12-17,임신으로 봄빛 병원 다니시는 분 계신지..??,https://cafe.naver.com/geahwa73/660272,33,6,,김예지 매니저
2025-12-17,봄빛병원 서동기 선생님 아직 계신가요?,https://cafe.naver.com/imsanbu/77617606,293,4,,김예지 매니저
2025-12-18,입체초음파 성공하고 왔으면 좋겠네요~,https://cafe.naver.com/imsanbu/77628619,25,1,,김예지 매니저
2025-12-18,분만관련 질문! 선생님 추천 받아보고 싶어요,https://cafe.naver.com/hig2/582856,15,3,,김예지 매니저
2025-12-19,쌍둥이라 살이 많이 텄는데요,https://cafe.naver.com/geahwa73/660468,21,5,,김예지 매니저
2025-12-19,몇 주 사이에 아기가 많이 컸어요,https://cafe.naver.com/imsanbu/77638906,54,0,,김예지 매니저
2025-12-19,입초 예약 했는데 아이가 얼굴 보여줄런지ㅎㅎ,https://cafe.naver.com/geahwa73/660430,15,4,,김예지 매니저
2025-12-22,초음파 다시 보고 나서야 실감 난 임신,https://cafe.naver.com/geahwa73/660705,28,8,,김예지 매니저
2025-12-22,저 같은 분 계실까요?,https://cafe.naver.com/imsanbu/77663097,545,3,,김예지 매니저
2025-12-23,분비물 때문에 걱정 했는데 이상 없다네요,https://cafe.naver.com/imsanbu/77674041,346,3,,김예지 매니저
2025-12-23,입체 초음파 찍으러 가요,https://cafe.naver.com/hig2/582951,11,2,,김예지 매니저
2025-12-23,임신 31주차 배뭉침이요,https://cafe.naver.com/geahwa73/660804,25,4,,김예지 매니저
2025-12-24,,https://cafe.naver.com/geahwa73/660893,0,0,,김예지 매니저
2025-12-26,드디어 임신이에요ㅠㅠㅠ,https://cafe.naver.com/imsanbu/77694944,696,5,,김예지 매니저
2025-12-29,아기가 쑥쑥 크고 있어요,https://cafe.naver.com/hig2/583047,8,2,,김예지 매니저
2025-12-29,조리원 언제 예약 하세요??,https://cafe.naver.com/imsanbu/77724136,513,15,,김예지 매니저
2025-12-29,봄빛병원 출산 많이 하는 곳 맞나요?,https://cafe.naver.com/geahwa73/661213,50,9,,김예지 매니저
2025-12-30,임테기 2줄 확인하자마자 가입했어요~!,https://cafe.naver.com/imsanbu/77734839,21,1,,김예지 매니저
2025-12-30,8주차면 조리원 예약 해야겠죠?,https://cafe.naver.com/geahwa73/661326,15,5,,김예지 매니저
2025-12-30,봄빛 병원 원장님 추천 받아볼 수 있나요?,https://cafe.naver.com/hig2/583083,7,3,,김예지 매니저
2025-12-31,임신 확인 봄빛병원에서 해도 되죠?,https://cafe.naver.com/geahwa73/661397,36,6,,김예지 매니저
2026-01-02,시흥에 출산 병원이 없어서 타지역으로 가려는데,https://cafe.naver.com/hig2/583153,12,2,,김예지 매니저
2026-01-02,언니 추천으로 서동기 과장님 진료 받고 왔어요,https://cafe.naver.com/imsanbu/77759300,53,1,,김예지 매니저
2026-01-05,조리원까지 예약 완료 했어요,https://cafe.naver.com/hig2/583202,5,1,,김예지 매니저
2026-01-05,,https://cafe.naver.com/geahwa73/661759,0,0,,김예지 매니저
2026-01-06,브이백이 많이 위험한건가요?,https://cafe.naver.com/imsanbu/77795682,69,5,,김예지 매니저
2026-01-06,회음부 열상감소주사 하셨어요??,https://cafe.naver.com/imsanbu/77795567,243,5,,김예지 매니저
2026-01-07,봄빛 여자 선생님들이요,https://cafe.naver.com/imsanbu/77806385,71,3,,김예지 매니저
2026-01-07,출산할 때 결정할게 은근 많으네요,https://cafe.naver.com/geahwa73/661988,9,1,,김예지 매니저
2026-01-08,점점 힘들어지는 첫째 케어ㅠㅠㅎㅎ,https://cafe.naver.com/imsanbu/77816416,133,1,,김예지 매니저
2026-01-08,출산이 코 앞으로 다가오고 있거든요,https://cafe.naver.com/hig2/583282,0,0,,김예지 매니저
2026-01-08,봄빛병원 무통 잘해주나요?,https://cafe.naver.com/geahwa73/662105,17,3,,김예지 매니저
2026-01-09,봄빛에서 쌍둥이 진료 보시는 선생님,https://cafe.naver.com/imsanbu/77825837,52,1,,김예지 매니저
2026-01-09,뱃속에 있어도 힘든데 나오면 얼마나 힘들지ㅠㅠㅎㅎ,https://cafe.naver.com/geahwa73/662200,20,6,,김예지 매니저
2026-01-09,출산할 때 무통 잘 놔주면 편하다는데,https://cafe.naver.com/hig2/583307,10,3,,김예지 매니저
2026-01-12,쌍둥이라 당황스럽지만ㅎㅎㅎ,https://cafe.naver.com/geahwa73/662421,21,4,,김예지 매니저
2026-01-13,조리원 빠르게 예약 했어요,https://cafe.naver.com/imsanbu/77862329,133,1,,김예지 매니저
2026-01-13,아기 심장 소리 듣고 왔어요,https://cafe.naver.com/imsanbu/77862008,28,0,,김예지 매니저
2026-01-13,쌍둥이 출산 가능한 분만 병원이요,https://cafe.naver.com/hig2/583374,2,1,,김예지 매니저
2026-01-14,입체초음파 찍으려고 예약했어요,https://cafe.naver.com/hig2/583415,2,1,,김예지 매니저
2026-01-14,연계 조리원 많이 가는 이유가 뭐에요?,https://cafe.naver.com/imsanbu/77873110,93,4,,김예지 매니저
2026-01-14,힘든 시기 보내고 찾아온 아이라,https://cafe.naver.com/geahwa73/662663,32,5,,김예지 매니저
2026-01-15,벌써 이 방을 졸업하는 날이 오다니..,https://cafe.naver.com/imsanbu/77884248,131,1,,김예지 매니저
2026-01-15,아기 심장소리 들으니 기분이 또 다르네요,https://cafe.naver.com/hig2/583438,0,0,,김예지 매니저
2026-01-16,힘들었던 입덧이 끝이 보이네요,https://cafe.naver.com/geahwa73/662871,7,2,,김예지 매니저
2026-01-16,출산병원 정할때요,https://cafe.naver.com/imsanbu/77895323,82,3,,김예지 매니저
2026-01-19,입초 예약했는데 너무 궁금해요,https://cafe.naver.com/imsanbu/77922593,13,0,,김예지 매니저
2026-01-19,입덧에서 드디어 해방될 것 같아요,https://cafe.naver.com/hig2/583495,0,0,,김예지 매니저
2026-01-19,출산으로 봄빛 어때요?,https://cafe.naver.com/geahwa73/663069,11,3,,김예지 매니저
2026-01-20,아기 얼굴이 궁금해서 입초 예약했어요,https://cafe.naver.com/geahwa73/663168,14,3,,김예지 매니저
2026-01-20,출산 병원 고민 중에 있어요,https://cafe.naver.com/hig2/583524,11,4,,김예지 매니저
2026-01-20,입덧 때문에 뭘 먹기가 힘들어요ㅠㅠ,https://cafe.naver.com/imsanbu/77933704,164,5,,김예지 매니저
2026-01-21,소양증 시작일까요??,https://cafe.naver.com/imsanbu/77945094,118,5,,김예지 매니저
2026-01-21,입초 잘 찍히는건 순전히 아이 마음인거죠?,https://cafe.naver.com/hig2/583559,1,0,,김예지 매니저
2026-01-21,임신 중에 입덧약 먹어보신분 계실까요?,https://cafe.naver.com/geahwa73/663273,5,3,,김예지 매니저
2026-01-22,임신 소양증일까봐 걱정이 되네요,https://cafe.naver.com/hig2/583598,1,0,,김예지 매니저
2026-01-22,아직 임신 초기라 얼떨떨 하네요ㅎㅎ,https://cafe.naver.com/geahwa73/663363,19,5,,김예지 매니저
2026-01-22,조리원은 일찍 예약하는게 좋다더라고요?,https://cafe.naver.com/imsanbu/77955598,61,3,,김예지 매니저
